model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
3858;709.18164;260.68347;512.982;24.078825;719.75696;68.943016;2.2875316;1.5574584;0.5808427;1.0677209;1.4612511;413.02832;68.943016;7.0389667;1.2207587;0.5808427;0.24762172;0.9348943;40.9307;6.842594;5.611426;0.5808427;1.0364875;0.0;0;-12.45155886456342;-9.739758796530595;12.820792852294034;9.739758796530595;-1.0;;;0.20512820512820512;0.15384615384615385;0.07692307692307693
3859;90.62806;214.8141;863.2618;80.3956;991.3737;57.31504;4.7736115;0.2358023;0.9727794;0.26986513;0.5373469;720.12555;55.882355;1.5100322;0.2358023;0.9727794;0.26986513;0.05361694;21.035294;43.188457;4.0515547;0.59239507;0.97064656;0.0;0;-8.812019900688579;-5.0802547833191625;11.05848724775724;6.429418081236406;-1.0136122852002614;-0.2769297512725224;-0.21570114677263494;0.4358974358974359;0.28205128205128205;0.10256410256410256
3860;475.26575;221.78264;457.97406;71.210625;37.58373;25.764795;1.1101781;1.7891066;0.21702316;1.6320632;0.8397214;17.954615;25.764795;3.4260597;0.073894255;0.21702316;1.6320632;0.8397214;5.9788866;25.764795;1.6974823;0.21702316;1.1363289;0.0;0;43.66895169008015;2.3500946530404008;52.34897000132854;13.686245161613556;-6.169157774426016;-0.4543588172320478;-0.5104806184815613;0.3076923076923077;0.23076923076923078;0.05128205128205128
3861;37.937336;393.5473;832.94775;14.0949745;402.06628;52.797363;4.571106;0.7757005;1.8884223;1.6223814;0.35310635;402.06628;52.797363;4.1780734;0.7757005;0.8630431;0.5802905;0.35310635;76.71002;19.883856;1.8230243;0.4260616;1.1992669;0.0;0;-0.3664286704137768;-2.031804332327056;8.507348410076371;5.015085335907656;-1.1991165601873646;-0.493852383506843;-0.4057462258235036;0.48717948717948717;0.41025641025641024;0.07692307692307693
3862;679.1509;854.6949;451.92676;92.65652;858.15027;40.554512;0.33587724;1.4569045;1.3458908;1.5328082;1.8517996;545.4567;40.554512;0.39894128;0.18228087;0.3570423;0.9599298;1.3309069;41.711075;40.554512;6.4613085;0.3570423;1.1890798;0.0;0;-13.02854584422244;-10.343061969280313;13.53210659029233;10.343061969280313;-1.0;;;0.20512820512820512;0.1282051282051282;0.07692307692307693
3863;350.27298;600.001;445.84003;85.55008;629.4398;92.07256;9.703715;0.34729517;0.5802312;1.5138566;1.491385;629.4398;16.418913;3.8167124;0.18940754;0.5802312;1.493835;1.491385;10.590169;16.418913;3.274503;0.5802312;0.9784332;0.0;0;-7.4741693302804695;-6.3206246046108845;8.3440633413582;6.3206246046108845;-1.0;;;0.48717948717948717;0.20512820512820512;0.05128205128205128
3864;949.7603;76.8779;165.66756;77.97251;983.7655;89.248566;6.0526896;0.6354222;1.5209123;0.7688386;0.08637312;962.5325;79.60872;0.9483395;0.46234366;0.6122383;0.5208965;0.08637312;10.366857;47.460842;6.9038615;0.21807672;1.1898067;0.0;0;-12.686155140733957;-10.566382563374475;14.525029868181246;11.044794342398035;-1.0230671041588102;-0.2769297512725224;-0.21060738737068574;0.28205128205128205;0.20512820512820512;0.10256410256410256
3865;330.88297;478.2493;133.72903;12.764681;716.2818;61.772858;0.75995094;0.9955936;0.49755743;0.9905301;0.05477342;692.1555;22.56434;9.933972;0.9955936;0.49755743;0.45800325;0.05477342;51.212593;22.56434;6.0724316;0.49755743;0.99276334;0.0;0;-13.991846532180675;-10.659455052845459;15.45434298052508;10.996604328912184;-1.0129566648729327;-0.2769297512725224;-0.12441062728814661;0.28205128205128205;0.1794871794871795;0.10256410256410256
3866;568.16785;99.42837;615.3818;14.053086;727.0048;96.540245;1.915343;0.9977464;1.5053978;1.326307;1.987654;543.39777;68.80377;9.816995;0.9977464;0.36450848;0.23029195;1.8649366;87.75555;25.71398;6.713552;0.36450848;0.9237225;0.0;0;-19.58100059020437;-12.638411579034823;19.71589789587909;12.638411579034823;-1.0;;;0.20512820512820512;0.15384615384615385;0.07692307692307693
3867;264.8137;412.15198;829.0602;68.351524;85.323685;37.57519;7.367131;0.20342751;0.809626;0.33973423;0.79820883;85.323685;37.57519;5.670017;0.02655391;0.43011338;0.055128668;0.27834985;68.61735;19.019552;6.8555183;0.43011338;1.1719456;0.0;0;-9.334533578264534;-6.901038883170628;10.073890080719464;7.149475333166947;-1.0;;;0.28205128205128205;0.20512820512820512;0.07692307692307693
