ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
2125/020-1;396964.63;5309926.49;12;319;Hartheim am Rhein;Waermepumpe (Entnahmestelle) ausgefuehrt;;3042;3291;2893;4260;2762;2033;2224;2119;2611;1798;7.40630137;2;
223/020-1;398684.93;5307805.33;47;362;Bad Krozingen;Beregnung;18590;26090;3510;3100;27230;6210;6690;1590;11130;57110;88190;62.12712329;2;
225/020-2;398447.02;5307485.45;42;368;Hartheim am Rhein;Beregnung;44811;2879;65633;37251;43813;103788;62047;58029;3095;107522;54058;145.1871233;2;
23/069-6;407190.5;5320747.14;217;103;Umkirch;Beregnung;3350;10274;9337;2933;3878;15689;8660;19695;752;16275;2219;23.17863014;2;
23/170-0;430778.14;5309735.57;688;323;Breitnau;oeffentliche Wasserversorgung;12705;22891;29060;28403;22719;38288;26421;27265;19615;21958;23879;68.04575342;2;
231/020-7;397524.4;5311116.01;23;296;Hartheim am Rhein;Beregnung;35120;1505;81915;63950;45380;84420;50460;40150;32100;78080;76750;146.9065753;2;
233/020-8;398123.15;5310995.07;35;298;Hartheim am Rhein;Beregnung;28075;7665;8870;47750;45380;60360;12937;19013;8100;44199;52331;83.35753425;2;
234/020-3;397089.57;5310365.31;15;311;Hartheim am Rhein;Beregnung Sport- und Freizeitanlagen;3364;2192;3218;3000;451;2500;2812;7551;0;605;1144;6.684109589;2;
24/069-1;407531.36;5320211.35;223;114;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;10933;8346;9723;12475;9498;9148;9729;8810;10381;6807;2966;24.61178082;2;
24/071-3;405683.14;5302737.4;187;463;Staufen im Breisgau;Badewasserversorgung (Schwimmbad);1598;2185;1800;2636;1919;2187;3332;775;2326;2556;2115;5.835342466;2;
253/120-5;421916.64;5312358.47;511;271;Kirchzarten;oeffentliche Wasserversorgung;58270;72940;125272;109346;179841;63359;73810;58439;45310;87361;20370;222.7441096;3;
26/069-2;407907.2;5320103.39;231;116;Umkirch;Beregnung;5870;13016;10915;9006;7909;12712;9539;10885;5647;11588;7698;26.09835616;2;
