rno,k,i,j,rlen,rwid,rgrd,rtp,rbth,rhk,man,ncon,ustrf,ndv
896,1,38,95,40.0259936671107,2.28445836031213,0.0810925653323124,342.078186035156,1,1.44,0.035,2,1,0
897,1,38,94,18.1234979268185,2.29128784747792,0.12210323721867,345.086395263672,1,1.44,0.035,2,1,0
898,1,39,94,60.4684675807869,2.29809703885628,0.0968817575839039,339.788116455078,1,1.44,0.035,2,1,0
899,1,40,94,9.73578966054371,4.03887360535088,0.0343921690921835,336.194244384766,1,1.44,0.035,2,1,0
900,1,40,93,60.0277803322504,4.04274040719906,0.0941737365855882,337.090423583984,1,1.44,0.035,2,1,0
901,1,40,92,18.3683395305734,4.04467242184086,0.12695715439425,340.326110839844,1,1.44,0.035,2,1,0
902,1,41,92,46.3905732027851,4.04660351405966,0.0843684449410143,334.723266601562,1,1.44,0.035,2,1,0
903,1,41,91,28.7298762855451,4.0945848385398,0.10493324672765,336.673675537109,1,1.44,0.035,2,1,0
904,1,42,91,38.6459727214208,4.09649240204349,0.0592408837895579,332.845611572266,1,1.44,0.035,2,1,0
905,1,42,90,29.6683746765142,4.1041137898455,0.0996350702332568,334.343444824219,1,1.44,0.035,2,1,0
906,1,43,90,57.2717873799279,4.10601692641421,0.049961245687853,330.700347900391,1,1.44,0.035,2,1,0
907,1,44,90,12.9973183464529,4.14389611356269,0.0365219226533842,329.368438720703,1,1.44,0.035,2,1,0
908,1,44,89,41.3082176667798,4.16270645133668,0.0376334646705173,329.016479492188,1,1.44,0.035,2,1,0
909,1,45,89,51.9484835809103,4.17582327212252,0.0224684683817403,327.996032714844,1,1.44,0.035,2,1,0
910,1,46,89,51.2183424658191,4.28296042475295,0.0378796159814143,327.5390625,1,1.44,0.035,2,1,0
911,1,47,89,20.4587895571273,4.28478412525065,0.0530870347681226,326.706146240234,1,1.44,0.035,2,1,0
912,1,47,90,30.7595529086792,4.28842919960211,0.116442604344429,330.831390380859,1,1.44,0.035,2,1,0
913,1,48,90,51.2183424658191,4.29207117834735,0.1265337913347,331.065795898438,1,1.44,0.035,2,1,0
914,1,49,90,51.5177450010241,4.31566912540802,0.113963726862571,329.738189697266,1,1.44,0.035,2,1,0
915,1,50,90,53.2191421941578,4.34453679924569,0.111287379183968,328.698211669922,1,1.44,0.035,2,1,0
916,1,51,90,11.3550636578121,4.353518691817,0.127171624857096,328.333984375,1,1.44,0.035,2,1,0
917,1,51,89,42.7107916736485,4.574043615883,0.0445622864511268,323.265777587891,1,1.44,0.035,2,1,0
918,1,52,89,54.050300326734,4.57916477100355,0.08452268185409,323.160095214844,1,1.44,0.035,2,1,0
919,1,53,89,35.3605192540522,4.59109191805174,0.120073602284445,323.230804443359,1,1.44,0.035,2,1,0
920,1,53,88,18.549946300281,4.60807714779169,0.0241959620447799,320.782897949219,1,1.44,0.035,2,1,0
921,1,54,88,53.9104655543332,4.63006479436303,0.0282436952907866,319.826354980469,1,1.44,0.035,2,1,0
922,1,55,88,54.7764124249454,4.63512405443479,0.0891298977429755,320.609985351562,1,1.44,0.035,2,1,0
923,1,56,88,1.32682831465881,4.63849382881987,0.132836198671142,321.576232910156,1,1.44,0.035,2,1,0
924,1,56,87,69.5119285454826,4.65362761724657,0.0327068787854219,318.083526611328,1,1.44,0.035,2,1,0
925,1,56,86,53.6699759017634,4.67038542306735,0.0465955948935958,318.366851806641,1,1.44,0.035,2,1,0
926,1,56,85,47.6548036234763,4.67707173346743,0.0881659752537362,320.038604736328,1,1.44,0.035,2,1,0
927,1,57,85,45.512977886459,4.68541620349783,0.0483575498736606,317.452667236328,1,1.44,0.035,2,1,0
928,1,134,103,27.0831712926975,2.83394601218866,0.228239529257375,427.941375732422,1,1.44,0.035,3,1,0
929,1,133,103,6.92593643994967,2.83670142947755,0.430385013159777,449.417694091797,1,1.44,0.035,2,1,0
930,1,133,102,60.6404052533452,2.85317805262833,0.466657786093484,446.723602294922,1,1.44,0.035,2,1,0
931,1,133,101,20.801884174027,2.85591491469896,0.41401733596962,440.288208007812,1,1.44,0.035,2,1,0
932,1,132,101,37.2278297402517,2.86956007081225,0.472343941590168,463.930389404297,1,1.44,0.035,2,1,0
933,1,132,100,53.1048366914894,2.88042965545073,0.493420816118872,459.115600585938,1,1.44,0.035,2,1,0
934,1,132,99,46.0060601517649,2.8831406486677,0.515901908637598,457.266784667969,1,1.44,0.035,2,1,0
935,1,131,99,6.94259591344517,2.89125837655509,0.512650690315394,485.823211669922,1,1.44,0.035,2,1,0
936,1,131,98,52.5961335337875,2.89665755656412,0.53397042334472,479.31640625,1,1.44,0.035,2,1,0
937,1,131,97,19.8557541965999,2.8993533761858,0.560512136322984,467.023803710938,1,1.44,0.035,2,1,0
938,1,124,29,43.7576349296062,0.5,0.03435382138628,309.070190429688,1,1.44,0.035,2,1,0
939,1,124,30,7.30234828037024,0.5,0.0232365517828126,309.100799560547,1,1.44,0.035,2,1,0
940,1,123,30,57.6416047100193,0.5,0.0251683219106756,308.346588134766,1,1.44,0.035,2,1,0
941,1,123,31,22.4207105524394,0.81967981553775,0.0231393168253948,306.757232666016,1,1.44,0.035,2,1,0
942,1,122,31,40.1932476948731,0.82915619758885,0.0259532465390755,306.225341796875,1,1.44,0.035,2,1,0
943,1,122,32,34.5885046280294,0.935414346693485,0.043906904451148,304.216827392578,1,1.44,0.035,2,1,0
944,1,121,32,49.2338533315566,0.960143218483576,0.0409172902951855,302.373596191406,1,1.44,0.035,2,1,0
945,1,121,33,10.5886117163881,0.976281209488332,0.0698096659854338,304.315795898438,1,1.44,0.035,2,1,0
946,1,120,33,57.3751975945596,0.992156741649222,0.0655590074667931,302.0830078125,1,1.44,0.035,2,1,0
947,1,119,33,33.9787142826713,1.00778221853732,0.0552130530542164,300.269012451172,1,1.44,0.035,2,1,0
948,1,119,34,23.6835226660182,1.0155048005795,0.0602114592960429,303.281402587891,1,1.44,0.035,2,1,0
949,1,118,34,58.1290473101702,1.02316909648406,0.0617925856029993,300.438201904297,1,1.44,0.035,2,1,0
950,1,117,34,17.0142972312489,1.03077640640442,0.0584191903255893,297.800598144531,1,1.44,0.035,2,1,0
951,1,117,35,40.1174088507279,1.08972473588517,0.0559229234037261,298.710601806641,1,1.44,0.035,2,1,0
952,1,116,34,54.3193437161481,1.09687054842402,0.0532392218832367,295.162780761719,1,1.44,0.035,2,1,0
953,1,116,33,33.6401791484516,1.1180339887499,0.0432888721986991,294.097686767578,1,1.44,0.035,2,1,0
954,1,115,33,40.010279503699,1.125,0.039270690534881,292.05419921875,1,1.44,0.035,2,1,0
955,1,115,34,20.9141757622321,1.13880419739304,0.0436702223728758,292.670196533203,1,1.44,0.035,2,1,0
956,1,114,34,4.32957314627334,1.14564392373896,0.0385944691034478,291.119171142578,1,1.44,0.035,2,1,0
957,1,116,37,40.5173464368947,1.83711730708738,0.0379835364291949,297.484191894531,1,1.44,0.035,3,1,0
958,1,116,36,21.147827766735,1.84560288252918,0.0403172466823502,296.061981201172,1,1.44,0.035,2,1,0
959,1,115,36,57.0503469013071,1.84983107336859,0.0328689418787904,295.087799072266,1,1.44,0.035,2,1,0
960,1,115,35,34.8431018667657,1.85404962177392,0.0360225423501589,293.710815429688,1,1.44,0.035,2,1,0
961,1,114,35,16.1183039619286,1.85825859341481,0.039342229705604,292.8662109375,1,1.44,0.035,2,1,0
962,1,114,34,31.3033005820466,1.86245805321892,0.0385944691034478,291.119171142578,1,1.44,0.035,2,1,0
963,1,118,145,13.4153154609258,3.18688719599549,0.436944633526739,602.096435546875,1,1.44,0.035,3,1,0
964,1,117,145,55.6402037066579,3.19178633370093,0.456620842593044,606.625,1,1.44,0.035,2,1,0
965,1,116,145,6.10246069762126,3.23795846174715,0.426325666538358,604.121765136719,1,1.44,0.035,2,1,0
966,1,116,144,51.2157672125545,3.25,0.431593196761626,583.650390625,1,1.44,0.035,2,1,0
967,1,115,144,55.4808085710171,3.25720355519885,0.457406776385861,601.750427246094,1,1.44,0.035,2,1,0
968,1,114,144,2.25120122178777,3.25960120260132,0.394723679545066,620.213806152344,1,1.44,0.035,2,1,0
969,1,114,143,69.0603347730468,3.26199708767497,0.473621070949602,599.763610839844,1,1.44,0.035,2,1,0
970,1,113,143,4.79593289987531,3.26917420765551,0.405416173082133,606.548583984375,1,1.44,0.035,2,1,0
971,1,113,142,53.9416088999329,3.2715630820756,0.450553799605523,584.275573730469,1,1.44,0.035,2,1,0
972,1,113,141,54.7935638894293,3.2739502134272,0.429028976264269,559.292419433594,1,1.44,0.035,2,1,0
973,1,112,141,5.98755833412666,3.29061164527205,0.442240616217809,561.081604003906,1,1.44,0.035,2,1,0
974,1,112,140,53.6162607881429,3.29298496807987,0.371793402848508,538.468811035156,1,1.44,0.035,2,1,0
975,1,111,140,53.3563224494798,3.30955057371843,0.418518555496755,542.974609375,1,1.44,0.035,2,1,0
976,1,110,140,11.7155640612661,3.32368395007708,0.416889323619575,546.104431152344,1,1.44,0.035,2,1,0
977,1,110,139,41.0218326104631,3.32603367391252,0.363848952277954,521.024963378906,1,1.44,0.035,2,1,0
978,1,109,139,53.858615443681,3.32838173892359,0.378779422956078,514.872375488281,1,1.44,0.035,2,1,0
979,1,108,139,19.239385051986,3.33307290649335,0.251314617190372,509.1337890625,1,1.44,0.035,2,1,0
980,1,103,182,13.9596371782797,1.84560288252918,0.436019562278179,804.424011230469,1,1.44,0.035,3,1,0
981,1,103,181,45.5976146289222,1.86245805321892,0.456605339127505,792.204406738281,1,1.44,0.035,2,1,0
982,1,102,181,9.3820902775782,1.875,0.46573415808418,816.614196777344,1,1.44,0.035,2,1,0
983,1,102,180,53.792135597686,1.88745860881769,0.492943905188849,803.869201660156,1,1.44,0.035,2,1,0
984,1,102,179,50.4891503559794,1.89983551919633,0.453758675266107,784.840026855469,1,1.44,0.035,2,1,0
985,1,102,178,51.4867061307382,1.98431348329844,0.447389043395256,775.870178222656,1,1.44,0.035,2,1,0
986,1,102,177,51.5855621932248,2.00779730052613,0.464752952226474,772.869384765625,1,1.44,0.035,2,1,0
987,1,102,176,24.2985320053812,2.03485257451246,0.471941819132215,774.107177734375,1,1.44,0.035,2,1,0
