c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1.0;1.0;1.0;1.0;1.0;0.3;0;6.957977480484694;11.464903215285517;15.144429842755263;14.946665951637954;-5.057224638979203;0.24344606240784317;0.31384684074994146;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.4;0;6.950532588441226;11.461079151855415;15.160286598190883;14.939856557714904;-5.057038766461869;0.24344606240784317;0.3121462401942883;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.5;0;6.927898211799017;11.457240942718983;15.155873742866333;14.92195707593612;-5.054991107047084;0.24344606240784317;0.31370568669614773;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.6;0;6.880675767848679;11.391471208358695;15.134172720762654;14.8897651864188;-5.03559501651062;0.2392505249255882;0.31310093261286104;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.7;0;7.192632283870832;11.669220642006877;15.618899355390631;15.042917749992512;-5.15543976463084;0.20862310130512715;0.272153928670256;0.07692307692307693
1.0;1.0;1.0;1.0;1.0;0.8;0;7.024727796298116;11.665088344853842;15.431515680213034;14.905479241328578;-5.144313939601205;0.24365583928195592;0.3026429230443449;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.9;0;6.8507914565258465;11.432672585278993;15.21279411310029;14.815969755501044;-5.055750457178107;0.24344606240784317;0.3108044508886476;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;1.0;0;6.696810814117525;11.199187951699002;15.049135281372436;14.74792478729745;-4.976482134703033;0.24113851679260295;0.31687973421923443;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;1.5;0;6.545580355981467;11.071086395999089;15.045241524091912;14.598642491691521;-4.940888696485081;0.2646036945817189;0.31440272982333567;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;2.0;0;7.097096993877104;12.165145523866926;16.117722423350056;14.668374422834148;-5.383611078919741;0.2509980298759021;0.3003711297871155;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;2.5;0;6.192853275571173;10.771212595729224;14.983461167038435;14.27038190539048;-4.85300146481741;0.2646036945817189;0.31644807929097113;0.07692307692307693
