model_run;c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2622;22.84134;10.657925;10.657925;10.657925;0.8185218;0.0;0;-49.560596876375;-18.793930934602173;49.9460814303803;18.793930934602173;-1.114272716748106;0.20044593143431833;0.18531554452469937;0.024390243902439025
2623;93.18311;13.814793;13.814793;13.814793;0.7562181;0.0;0;-51.01903467321446;-19.58480250742332;51.269413848653905;19.58480250742332;-1.0656738517686883;0.20044593143431833;0.18531554452469937;0.024390243902439025
2624;57.125607;41.73943;41.73943;41.73943;0.8765895;0.0;0;-52.32104872717002;-19.936508807145685;52.60232687615557;19.936508807145685;-1.0767885465299925;0.20044593143431833;0.18531554452469942;0.024390243902439025
2625;42.255283;5.5320253;5.5320253;5.5320253;0.75192654;0.0;0;-47.05491853534336;-17.766475545912584;47.449164868458176;17.766475545912584;-1.117424423396964;0.20044593143431833;0.18531554452469942;0.04878048780487805
2626;56.041786;94.770355;52.009357;41.269;0.9586846;0.0;0;-48.748824025109094;-15.62547716774651;49.17799345541752;15.62547716774651;-1.129986638929699;0.20044593143431833;0.18531554452469937;0.07317073170731707
2627;34.26681;90.19056;27.378307;27.378307;0.98819655;0.0;0;-47.715063709075;-15.515812959944299;48.0218980609675;15.515812959944299;-1.0741970142996007;0.20044593143431833;0.18531554452469942;0.17073170731707318
2628;28.862415;4.90288;4.90288;4.90288;0.96854085;0.0;0;-44.02671217149836;-16.604627836878933;44.49997122962555;16.604627836878933;-1.1458461546062833;0.20044593143431833;0.18531554452469937;0.07317073170731707
2629;24.13902;83.83279;73.691025;73.691025;0.8496946;0.0;0;-52.43539720717052;-18.7138811598428;52.66035986085007;18.7138811598428;-1.056531254172891;0.20044593143431833;0.18531554452469937;0.04878048780487805
2630;8.251975;50.89233;33.483395;33.483395;1.0117797;0.0;0;-50.20388640311565;-16.527164667401507;50.55534257994724;16.527164667401507;-1.1020323416772633;0.20044593143431833;0.18531554452469937;0.024390243902439025
2631;49.661526;70.19927;70.19927;70.19927;1.1570473;0.0;0;-52.54529267125801;-19.936481302752583;52.813374623928425;19.936481302752583;-1.0720417320821216;0.20044593143431833;0.18531554452469942;0.024390243902439025
2632;88.77729;88.694244;88.694244;17.91268;0.89560765;0.0;0;-50.38991753473588;-19.25945196271431;50.61566410500439;19.25945196271431;-1.0568132374430357;0.20044593143431833;0.18531554452469942;0.04878048780487805
2633;63.018894;57.70168;43.93635;43.93635;0.9062877;0.0;0;-51.442817564336146;-18.673977942344152;51.590225034022964;18.673977942344152;-1.0286338162224138;0.20044593143431833;0.18531554452469942;0.04878048780487805
2634;52.102352;11.641547;9.741591;9.741591;1.021413;0.0;0;-47.83053418296114;-17.732181562659235;48.20426895273412;17.732181562659235;-1.1100461923602167;0.20044593143431833;0.18531554452469937;0.024390243902439025
2635;42.865005;0.26783526;0.26783526;0.26783526;0.8668772;0.0;0;100.89769776148036;84.80187295617452;108.41778122935612;84.80187295617452;-29.579995595155918;-0.2603463970172548;-0.35017872146261425;0.04878048780487805
2636;46.44552;49.697186;0.9622079;0.9622079;0.91889316;0.0;0;-39.82113923304464;-9.297398890798917;42.17348515231816;9.635035155210971;0.5424537422017959;0.33366073497299287;0.22553185709079468;0.2682926829268293
2637;20.935642;94.92372;78.702484;14.452222;0.97621864;0.0;0;-50.44719192723343;-17.912421231963748;50.545134804468425;17.912421231963748;-1.0;;;0.04878048780487805
2638;82.29536;57.26646;52.570057;52.570057;0.9431512;0.0;0;-53.75444637467876;-19.012911876216037;53.841542393599546;19.012911876216037;-1.0069391354953838;0.20044593143431833;0.18531554452469942;0.07317073170731707
2639;19.846312;37.300186;37.300186;37.300186;1.1591161;0.0;0;-52.76433389291584;-19.599425871726282;52.89683626837444;19.599425871726282;-1.0232722927242994;0.20044593143431833;0.18531554452469942;0.04878048780487805
2640;71.66511;3.1018925;3.1018925;3.1018925;1.1744968;0.0;0;-35.98879279519067;-15.688394237221843;36.68195350536735;15.688394237221843;-1.2119676804631578;0.20044593143431833;0.18531554452469942;0.14634146341463414
2641;76.0009;91.498795;51.64569;51.64569;0.95143926;0.0;0;-52.06563480703887;-20.690966674805082;52.06563480703887;20.690966674805082;-1.0;;;0.07317073170731707
2642;57.491154;32.722393;32.38449;32.38449;0.9738933;0.0;0;-51.9820919181745;-19.463288820053606;52.212555321970164;19.463288820053606;-1.0585099334454442;0.20044593143431833;0.18531554452469942;0.04878048780487805
2643;86.29401;70.48069;28.158075;28.158075;1.2284471;0.0;0;-48.0314738650802;-15.49430258996685;48.4255758746405;15.49430258996685;-1.1173725086544601;0.20044593143431833;0.18531554452469937;0.0975609756097561
2644;29.112125;69.42678;41.535595;16.290403;1.0015438;0.0;0;-49.35849399726174;-15.60993382865297;49.70002200183962;15.60993382865297;-1.0889052141915487;0.20044593143431833;0.18531554452469942;0.04878048780487805
2645;88.1629;25.395777;25.395777;18.289145;1.246516;0.0;0;-49.94608035236206;-19.14879086466317;50.311485034110376;19.14879086466317;-1.107049769660583;0.20044593143431833;0.18531554452469942;0.024390243902439025
2646;72.94375;6.387113;6.387113;6.387113;1.1314014;0.0;0;-45.13818105330067;-16.85724392285914;45.562330386644994;16.85724392285914;-1.1281808557911444;0.20044593143431833;0.18531554452469937;0.07317073170731707
2647;79.877;38.506187;32.48321;32.48321;0.88211614;0.0;0;-50.852826733225065;-16.09253394954996;51.556409522043964;16.09253394954996;-1.2258260683070699;0.20044593143431833;0.18531554452469937;0.07317073170731707
2648;66.46133;31.71993;19.23812;19.23812;0.86454636;0.0;0;-49.294340572250945;-15.866205566164098;49.6717272726675;15.866205566164098;-1.1113598312852178;0.20044593143431833;0.18531554452469937;0.04878048780487805
2649;84.63584;70.02864;42.719425;42.719425;0.82953227;0.0;0;-50.421493136511;-17.631995284804162;50.70694157192928;17.631995284804162;-1.0782886436350885;0.20044593143431833;0.18531554452469937;0.024390243902439025
2650;99.30995;81.98005;13.358507;5.350213;1.1530728;0.0;0;-43.43567203470818;-11.57789218470154;44.28115695025128;11.57789218470154;-1.1638518226605616;0.20044593143431833;0.18531554452469937;0.3170731707317073
2651;42.022083;22.252317;22.252317;22.252317;0.903431;0.0;0;-51.43723242705309;-19.58634777934941;51.716803787667565;19.58634777934941;-1.0761745963048033;0.20044593143431833;0.18531554452469937;0.024390243902439025
2652;81.39343;52.827824;10.355704;8.832045;1.0878962;0.0;0;-44.33911994984884;-12.872417671513233;44.91979919573264;12.872417671513233;-1.142489715316397;0.20044593143431833;0.18531554452469942;0.2926829268292683
2653;74.46053;4.070429;4.070429;4.070429;1.020068;0.0;0;-42.03551027494042;-16.499712343492376;42.51513810584034;16.499712343492376;-1.1481370710105945;0.20044593143431833;0.18531554452469937;0.0975609756097561
2654;45.29249;21.43344;21.43344;20.197962;1.1629987;0.0;0;-50.486491095449246;-19.58338883565125;50.82591703882024;19.58338883565125;-1.0977049366706877;0.20044593143431833;0.18531554452469937;0.024390243902439025
2655;92.69563;76.17854;47.224277;47.224277;1.1254088;0.0;0;-50.192322105785436;-16.28253221449441;50.56042025635798;16.28253221449441;-1.108018639509466;0.20044593143431833;0.18531554452469937;0.024390243902439025
2656;39.44865;79.341896;20.006796;20.006796;0.7818745;0.0;0;-46.871215083150005;-14.789021833673445;47.31334316171113;14.789021833673445;-1.112723487235124;0.20044593143431833;0.18531554452469942;0.1951219512195122
2657;56.550938;77.642685;73.02506;38.568356;0.91921383;0.0;0;-49.77257661826906;-17.034970081684378;50.495594103106114;17.034970081684378;-1.23104684505953;0.20044593143431833;0.18531554452469937;0.07317073170731707
2658;10.603176;14.247369;14.247369;14.247369;1.0100493;0.0;0;-49.89624032222922;-19.234886993292918;50.25109704481257;19.234886993292918;-1.1032555547395486;0.20044593143431833;0.18531554452469937;0.024390243902439025
2659;22.585262;55.107964;22.182312;5.7553573;1.1518195;0.0;0;-45.79027567918638;-13.307246398233389;46.31687012758536;13.307246398233389;-1.1246406594282838;0.20044593143431833;0.18531554452469937;0.12195121951219512
2660;84.07121;42.276615;42.276615;35.344486;1.1070138;0.0;0;-51.59575114912899;-19.93090832060514;51.9065768691751;19.93090832060514;-1.0874171272103776;0.20044593143431833;0.18531554452469942;0.024390243902439025
2661;39.66131;99.14871;32.534126;20.060871;1.024702;0.0;0;-47.23131480756695;-14.910915652650061;47.65075742809242;14.910915652650061;-1.0999011442949618;0.20044593143431833;0.18531554452469942;0.14634146341463414
2662;39.414467;65.410446;55.78914;13.599892;1.1541877;0.0;0;-49.15281415659312;-15.85092620598013;49.91929924128601;15.85092620598013;-1.2362963082985283;0.20044593143431833;0.18531554452469937;0.07317073170731707
2663;24.605642;93.52086;70.16198;70.16198;0.9674642;0.0;0;-51.404807449549516;-17.07113857874134;51.74082512469829;17.07113857874134;-1.0964789457523068;0.20044593143431833;0.18531554452469942;0.024390243902439025
2664;49.16612;14.543577;14.543577;14.543577;0.77782977;0.0;0;-50.83678949632949;-19.587401427200632;51.12986375811454;19.587401427200632;-1.0810317358042427;0.20044593143431833;0.18531554452469937;0.024390243902439025
2665;80.58364;45.09282;44.481945;22.323574;1.1852678;0.0;0;-50.15051146117177;-18.879518564731086;50.53965871327008;18.879518564731086;-1.1155902288410529;0.20044593143431833;0.18531554452469937;0.04878048780487805
2666;89.51746;77.16304;6.79207;6.79207;1.0132967;0.0;0;-42.87596408990988;-11.55735507699552;44.077759799104655;11.55735507699552;-1.1663686690977138;0.20044593143431833;0.18531554452469937;0.3170731707317073
2667;7.020742;36.792095;36.792095;36.792095;1.1542015;0.0;0;-51.81591424044057;-19.818873817123574;52.10869660461732;19.818873817123574;-1.0809267370795177;0.20044593143431833;0.18531554452469937;0.024390243902439025
2668;57.486324;63.254524;41.667446;41.667446;0.94604087;0.0;0;-49.975786252392716;-16.797976996789657;50.481783800209755;16.797976996789657;-1.1576225432072138;0.20044593143431833;0.18531554452469937;0.07317073170731707
2669;46.732662;51.1751;51.1751;51.1751;1.0442761;0.0;0;-52.42757187972942;-19.585983107513982;52.661187496991936;19.585983107513982;-1.0596438187007053;0.20044593143431833;0.18531554452469937;0.04878048780487805
2670;61.43204;99.19302;27.406448;27.406448;0.9155465;0.0;0;-47.32129309265296;-15.23608245739149;47.72139234372896;15.23608245739149;-1.1027517746551592;0.20044593143431833;0.18531554452469937;0.1951219512195122
2671;44.733097;17.395515;17.395515;17.395515;0.9547875;0.0;0;-50.6955374626717;-19.586717017239664;51.015355767906584;19.586717017239664;-1.090651857300659;0.20044593143431833;0.18531554452469942;0.024390243902439025
2672;39.870495;93.535515;14.112574;14.112574;0.8236991;0.0;0;-45.17000483526774;-13.460938686348157;45.85275451100073;13.460938686348157;-1.13553555278127;0.20044593143431833;0.18531554452469937;0.2926829268292683
2673;47.19335;40.16308;40.16308;26.585964;1.1208018;0.0;0;-52.932123941897835;-19.922210783022024;52.932123941897835;19.922210783022024;-1.0;;;0.04878048780487805
2674;58.204094;46.804615;30.78774;30.78774;0.89014214;0.0;0;-50.3102780774727;-17.705807730907964;50.593115657750445;17.705807730907964;-1.0773494908211723;0.20044593143431833;0.18531554452469942;0.024390243902439025
2675;50.10331;52.864902;18.186344;18.186344;0.90086555;0.0;0;-47.18482081252614;-14.174791216233018;47.6788452005427;14.174791216233018;-1.150144470647807;0.20044593143431833;0.18531554452469937;0.14634146341463414
2676;47.219723;26.544;9.402778;9.402778;0.92709446;0.0;0;-46.01386617649278;-13.895447324930728;46.47408761375266;13.895447324930728;-1.1389030335878323;0.20044593143431833;0.18531554452469942;0.12195121951219512
2677;81.785355;96.366104;65.5677;58.620384;0.9660631;0.0;0;-51.496373419106156;-17.85425642058462;51.69890386239032;17.85425642058462;-1.0484621456313394;0.20044593143431833;0.18531554452469937;0.04878048780487805
2678;74.567345;91.149605;23.324461;23.324461;1.038082;0.0;0;-46.75475299036276;-14.784790172184756;47.19068709270447;14.784790172184756;-1.1112950562557762;0.20044593143431833;0.18531554452469937;0.1951219512195122
2679;34.144436;97.29078;57.285713;50.883934;1.0914034;0.0;0;-49.966420134393545;-17.255048835767496;50.235244452368775;17.255048835767496;-1.0723087689062447;0.20044593143431833;0.18531554452469942;0.024390243902439025
2680;80.05971;99.691986;97.94208;92.85632;1.0878447;0.0;0;-53.434054028307465;-19.734665226639123;53.56855535939629;19.734665226639123;-1.0239913386705375;0.20044593143431833;0.18531554452469937;0.04878048780487805
2681;85.36653;66.983315;31.603022;31.603022;0.96184045;0.0;0;-49.93466442155671;-16.216565358773067;50.14507801387912;16.216565358773067;-1.0512977995467416;0.20044593143431833;0.18531554452469942;0.07317073170731707
2682;15.357686;45.174034;3.5040784;3.5040784;0.99094534;0.0;0;-41.3721990096027;-10.488428455556658;42.743109677081314;11.029466368207608;-1.184193590686333;0.20044593143431833;0.18531554452469942;0.3170731707317073
2683;58.27242;85.07488;14.290833;14.290833;0.82016027;0.0;0;-45.31080743824443;-13.626219161268125;45.90459226605212;13.626219161268125;-1.1288190386806087;0.20044593143431833;0.18531554452469942;0.2926829268292683
2684;28.538345;2.3902497;2.3902497;2.3902497;1.010753;0.0;0;-33.0241789747558;-15.728379522407579;34.15052413348284;15.917719206424067;-1.3516219924916408;0.38637524941033624;0.22488027280088962;0.21951219512195122
2685;73.91984;83.44206;46.33372;44.92038;1.1885283;0.0;0;-49.658067508533;-16.390586901291726;50.01695142604483;16.390586901291726;-1.104704180283936;0.20044593143431833;0.18531554452469942;0.024390243902439025
