per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,78,1,235,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.00998,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.04865,8.76,0.0,0.0,0.0,0.0,0.0
0,79,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.96722,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.2475,11.62,0.0,0.0,0.0,0.0,0.0
0,80,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.115,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.73,5.79,0.0,0.0,0.0,0.0,0.0
0,81,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.4,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.52377,11.62,0.0,0.0,0.0,0.0,0.0
0,82,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.11,1.0,0.0,0.0,0.0,0.0,0.0
0,83,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.14996,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.40002,9.97,0.0,0.0,0.0,0.0,0.0
0,84,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.95,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.22998,9.97,0.0,0.0,0.0,0.0,0.0
0,85,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.67,5.79,0.0,0.0,0.0,0.0,0.0
0,86,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.88998,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.65976,2.0,0.0,0.0,0.0,0.0,0.0
0,87,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.56,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.19,10.37,0.0,0.0,0.0,0.0,0.0
0,88,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.37,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.3143,9.97,0.0,0.0,0.0,0.0,0.0
0,89,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.99,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.37,9.97,0.0,0.0,0.0,0.0,0.0
0,90,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.38,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.15,9.97,0.0,0.0,0.0,0.0,0.0
0,91,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.05,10.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.77,9.97,0.0,0.0,0.0,0.0,0.0
0,92,1,239,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.39996,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.71,9.97,0.0,0.0,0.0,0.0,0.0
