r10_2;r110_2;r0011_2;r10_3;r110_3;r0011_3;r10_4;r110_4;r0011_4;z10;z0011;m0011;m110;complete;ME;MAE;RBIAS;r
2.2727296;1.0651356;93.58971;2.2339442;1.1942077;8.298128;2.947385;7.445076;85.975235;3.5563095;6.26455;51.96932;7.171007;0;2.57040680764803;8.039553876878665;0.015728941104448432;0.9680161943319838
1.2134697;1.52719;11.213334;4.478896;3.017565;62.934914;3.0651515;6.7533784;61.289623;4.4472313;9.922012;14.067603;4.332511;0;0.6712410014683045;8.797268161236273;0.009186642400519043;0.9560728744939272
2.8174655;2.5820694;63.874187;1.9632686;5.172896;70.72998;1.3055035;6.1782117;49.476276;1.7993808;8.788446;4.1691756;6.6610694;0;16.359186187784328;16.68669268837075;0.06061641526355648;0.9767206477732794
0.41270456;2.4848788;79.44024;4.335215;4.590713;12.842619;0.3431445;8.031152;15.250099;4.3319387;4.72806;4.4770417;6.9243217;0;30.524705761841304;30.682427784669578;0.11186646774161542;0.9568825910931176
4.1553926;3.044162;27.278467;0.2546712;7.431894;21.47908;2.7224748;7.9532056;55.440483;2.4362295;9.711254;40.405987;7.0409346;0;4.954547917426799;7.409256897459847;0.022121935828081196;0.9769230769230771
3.1951556;2.2434785;72.78272;1.8014284;6.50692;79.087616;2.6170175;8.832304;36.00953;1.0293609;3.981392;17.658966;7.152385;0;6.482641561011644;8.77860217775876;0.02662813044821768;0.9700404858299596
3.81463;4.605419;17.819622;4.2898355;8.922543;93.02894;3.3026977;7.2387624;19.70775;4.9832516;4.0599203;19.536402;4.756258;0;-5.974134452959451;11.96449423286599;-0.01568048902577074;0.9518218623481782
1.8371773;4.2156773;29.190277;4.516417;8.692936;48.172382;1.1433508;4.2028694;88.11737;4.7455773;5.5563283;3.0302389;6.62213;0;7.625110113796813;9.047219658094168;0.032201770738110355;0.9736842105263157
4.8564205;4.4076557;31.87038;3.8064778;3.1709785;79.40849;0.98025244;5.722125;46.59669;0.7116044;8.016182;51.361404;9.160722;0;1.2955940960493326;6.3080903730368965;0.007365079253353031;0.9769230769230771
4.4762936;3.184631;99.647064;3.3823426;1.1587485;32.620613;4.891788;5.4154;8.895847;2.335359;2.729513;59.36671;1.613043;0;-8.514531850659662;14.044735768923555;-0.024661486986237716;0.9489878542510123
3.9140792;3.2115388;22.242657;4.095974;8.690237;70.62016;0.6570736;1.9708017;30.91173;4.9323606;7.682199;51.879704;8.048719;0;3.251690713875564;6.459878766554894;0.015578915400139103;0.9836032388663969
1.0537297;3.0850735;13.791539;3.5670352;3.9620879;56.164825;4.9971023;8.305688;18.968983;2.7874088;1.0243013;11.267291;2.1589267;0;-1.9930724157891428;10.971034104043227;-6.536712479742412e-05;0.9374493927125506
2.3869328;2.2309325;92.643456;1.3456826;4.123987;84.47788;3.6278863;9.215685;93.98527;2.535732;3.3623176;67.09144;5.1902657;0;1.4962163460415865;8.54868129403544;0.01243737022684869;0.9653846153846155
0.31463847;1.6783195;17.03114;2.3845608;2.425553;77.81421;3.1836789;9.85968;25.063135;1.0572572;9.770219;67.425064;2.4766965;0;13.3461209720427;13.801221806597823;0.054348826911071374;0.9570850202429151
0.8560185;3.0008142;88.04871;3.3374546;7.2370653;29.129452;1.7649391;3.231709;51.133274;2.1556604;6.908196;19.620895;8.041782;0;14.754520452363598;14.963506317619261;0.05793442793026772;0.9686234817813766
3.44694;0.225106;65.3952;2.9802334;3.5209804;15.796067;4.3522353;1.8607618;74.806725;2.5411508;5.163045;68.84872;1.3344765;0;-6.351487834962436;12.635307112933464;-0.016362864270380324;0.9572874493927126
3.7493346;0.13653651;58.109287;4.4369783;2.590688;80.95802;4.559302;1.9993767;16.692577;3.5988467;7.585867;32.20506;7.3102517;0;-8.754687511446877;14.408448905817178;-0.025226450347076216;0.9500000000000002
4.840798;4.273045;75.38253;2.4218388;5.5305166;4.2464647;3.6372316;8.238673;44.31127;2.3051662;4.9173064;4.8342295;4.6135917;0;-4.969993577968848;10.695835673108549;-0.012759350589585753;0.9631578947368421
1.6965443;0.3274778;72.87389;0.97213817;7.753743;68.224846;3.578454;6.685675;65.67486;3.2114446;1.9601967;41.127453;3.3854609;0;6.933052688375776;8.831966430408468;0.031554442253994806;0.9661943319838058
1.9152526;2.6714962;11.942093;1.151452;3.4263873;48.11551;2.5164578;7.8050814;88.313416;0.59743005;5.4781246;37.815994;9.64415;0;13.62220552012358;14.228685846971652;0.05266062631312296;0.9710526315789475
2.4008236;3.11344;99.94714;4.245677;7.498351;8.454631;0.48139083;9.146768;65.75621;3.8425472;9.598618;60.364037;3.628556;0;7.868909188482382;8.989501366584895;0.03315674850090008;0.9748987854251013
1.0284096;1.0710391;94.247086;0.14273268;5.157776;69.167564;4.995242;3.0364234;8.928301;0.11604979;3.453416;26.185772;2.9053311;0;23.964427567553084;25.97798407454519;0.08179538751823581;0.9500000000000002
0.73661536;4.489081;89.7626;4.358739;4.6339545;48.804535;0.17622137;4.2767677;32.834583;3.2465603;1.4758741;54.1311;4.88318;0;22.830839471970023;23.000151861090114;0.08608786517360685;0.9655870445344129
2.4309542;1.0314692;62.606625;0.37238163;4.2356877;86.15003;2.5274472;8.13134;35.742287;4.1489367;7.6721177;55.49731;3.720204;0;13.450470411889583;13.680755417178915;0.05321571129295579;0.9734817813765182
1.2118558;4.4341235;52.75634;2.0191264;2.3102286;21.65456;1.8989581;3.334527;39.43907;3.8572855;5.089643;4.376628;7.55028;0;21.077675378365775;21.262178279255405;0.07929194701819757;0.9651821862348179
3.3820887;3.8386524;54.09158;4.0208635;3.9937038;1.2276576;3.9030485;5.5543675;94.22024;0.8218554;4.012344;47.77371;1.2714329;0;-5.634195164825999;11.982065320822388;-0.014523021469361902;0.9532388663967613
