;[m3/s]
;Q
2014-12-21;2.388
2014-12-22;2.049
2014-12-23;1.753
2014-12-24;1.537
2014-12-25;1.468
2014-12-26;1.347
2014-12-27;1.306
2014-12-28;1.236
2014-12-29;1.125
2014-12-30;1.051
2014-12-31;1.035
2015-01-01;0.984
2015-01-02;1.338
2015-01-03;2.161
2015-01-04;4.231
2015-01-05;2.629
2015-01-06;2.225
2015-01-07;1.972
2015-01-08;1.886
2015-01-09;2.061
2015-01-10;2.692
2015-01-11;3.052
2015-01-12;2.422
2015-01-13;2.219
2015-01-14;3.155
2015-01-15;2.616
2015-01-16;2.582
2015-01-17;2.628
2015-01-18;2.332
2015-01-19;2.153
2015-01-20;1.999
2015-01-21;1.794
2015-01-22;1.627
2015-01-23;1.517
2015-01-24;1.435
2015-01-25;1.324
2015-01-26;1.243
2015-01-27;1.244
2015-01-28;1.154
2015-01-29;1.288
2015-01-30;1.426
2015-01-31;1.222
2015-02-01;1.141
2015-02-02;1.129
2015-02-03;1.051
2015-02-04;1.015
2015-02-05;0.944
2015-02-06;0.944
2015-02-07;0.89
2015-02-08;0.852
2015-02-09;0.852
2015-02-10;0.852
2015-02-11;0.852
2015-02-12;0.844
2015-02-13;0.848
2015-02-14;0.957
2015-02-15;0.948
2015-02-16;0.944
2015-02-17;0.879
2015-02-18;0.852
2015-02-19;0.852
2015-02-20;0.879
2015-02-21;0.996
2015-02-22;0.94
2015-02-23;2.316
2015-02-24;2.312
2015-02-25;1.763
2015-02-26;1.502
2015-02-27;1.888
2015-02-28;1.648
2015-03-01;2.004
2015-03-02;4.059
2015-03-03;3.046
2015-03-04;2.653
2015-03-05;2.22
2015-03-06;1.956
2015-03-07;1.731
2015-03-08;1.627
2015-03-09;1.632
2015-03-10;1.715
2015-03-11;1.842
2015-03-12;1.763
2015-03-13;1.694
2015-03-14;1.576
2015-03-15;1.459
2015-03-16;1.43
2015-03-17;1.5
2015-03-18;1.722
2015-03-19;1.869
2015-03-20;1.864
2015-03-21;1.81
2015-03-22;1.684
2015-03-23;1.572
2015-03-24;1.547
2015-03-25;1.588
2015-03-26;1.622
2015-03-27;1.502
2015-03-28;1.412
2015-03-29;2.284
2015-03-30;6.601
2015-03-31;4.374
2015-04-01;3.52
2015-04-02;4.033
2015-04-03;3.596
2015-04-04;3.737
2015-04-05;3.257
2015-04-06;2.808
2015-04-07;2.496
2015-04-08;2.258
2015-04-09;2.159
2015-04-10;2.104
2015-04-11;2.215
2015-04-12;2.181
2015-04-13;2.126
2015-04-14;2.054
2015-04-15;1.966
2015-04-16;1.901
2015-04-17;2.242
2015-04-18;2.116
2015-04-19;1.773
2015-04-20;1.622
2015-04-21;1.502
2015-04-22;1.449
2015-04-23;1.383
2015-04-24;1.319
2015-04-25;1.334
2015-04-26;1.356
2015-04-27;1.293
2015-04-28;1.756
2015-04-29;1.288
2015-04-30;1.248
2015-05-01;5.036
2015-05-02;6.242
2015-05-03;7.789
2015-05-04;6.012
2015-05-05;4.715
2015-05-06;3.671
2015-05-07;2.98
2015-05-08;2.536
2015-05-09;2.264
2015-05-10;2.01
2015-05-11;1.784
2015-05-12;1.618
2015-05-13;1.522
2015-05-14;1.664
2015-05-15;2.32
2015-05-16;1.76
2015-05-17;1.498
2015-05-18;1.379
2015-05-19;1.293
2015-05-20;1.302
2015-05-21;1.184
2015-05-22;1.125
2015-05-23;1.064
2015-05-24;1.039
2015-05-25;1.364
2015-05-26;1.425
2015-05-27;1.104
2015-05-28;1.008
2015-05-29;0.984
2015-05-30;0.94
2015-05-31;0.933
2015-06-01;0.913
2015-06-02;0.867
2015-06-03;0.821
2015-06-04;0.809
2015-06-05;0.774
2015-06-06;0.794
2015-06-07;0.759
2015-06-08;0.758
2015-06-09;0.74
2015-06-10;0.69
2015-06-11;0.69
2015-06-12;1.168
2015-06-13;0.86
2015-06-14;0.825
2015-06-15;1.169
2015-06-16;0.946
2015-06-17;0.871
2015-06-18;1.003
2015-06-19;1.253
2015-06-20;1.032
2015-06-21;0.944
2015-06-22;0.981
2015-06-23;1.739
2015-06-24;1.188
2015-06-25;1.076
2015-06-26;0.972
2015-06-27;0.988
2015-06-28;0.894
2015-06-29;0.821
2015-06-30;0.783
2015-07-01;0.722
2015-07-02;0.704
2015-07-03;0.66
2015-07-04;0.631
2015-07-05;0.625
2015-07-06;0.591
2015-07-07;0.58
2015-07-08;0.622
2015-07-09;0.566
2015-07-10;0.547
2015-07-11;0.503
2015-07-12;0.5
2015-07-13;0.497
2015-07-14;0.468
2015-07-15;0.467
2015-07-16;0.451
2015-07-17;0.429
2015-07-18;0.439
2015-07-19;0.442
2015-07-20;0.412
2015-07-21;0.416
2015-07-22;0.382
2015-07-23;0.873
2015-07-24;0.462
2015-07-25;0.418
2015-07-26;0.425
2015-07-27;0.575
2015-07-28;0.427
2015-07-29;0.527
2015-07-30;0.448
2015-07-31;0.402
2015-08-01;0.406
2015-08-02;0.387
2015-08-03;0.361
2015-08-04;0.355
2015-08-05;0.35
2015-08-06;0.325
2015-08-07;0.323
2015-08-08;0.316
2015-08-09;0.337
2015-08-10;0.396
2015-08-11;0.338
2015-08-12;0.325
2015-08-13;0.374
2015-08-14;0.359
2015-08-15;0.334
2015-08-16;0.483
2015-08-17;0.379
2015-08-18;0.339
2015-08-19;0.326
2015-08-20;0.32
2015-08-21;0.309
2015-08-22;0.301
2015-08-23;0.374
2015-08-24;0.626
2015-08-25;0.41
2015-08-26;0.326
2015-08-27;0.306
2015-08-28;0.298
2015-08-29;0.294
2015-08-30;0.286
2015-08-31;0.281
2015-09-01;0.361
2015-09-02;0.329
2015-09-03;0.302
2015-09-04;0.294
2015-09-05;0.292
2015-09-06;0.338
2015-09-07;0.302
2015-09-08;0.29
2015-09-09;0.283
2015-09-10;0.275
2015-09-11;0.273
2015-09-12;0.28
2015-09-13;0.292
2015-09-14;0.457
2015-09-15;0.324
2015-09-16;0.331
2015-09-17;0.763
2015-09-18;0.442
2015-09-19;0.375
2015-09-20;0.351
2015-09-21;0.319
2015-09-22;0.45
2015-09-23;0.73
2015-09-24;0.449
2015-09-25;0.355
2015-09-26;0.332
2015-09-27;0.312
2015-09-28;0.298
2015-09-29;0.288
2015-09-30;0.286
2015-10-01;0.283
2015-10-02;0.284
2015-10-03;0.276
2015-10-04;0.383
2015-10-05;0.308
2015-10-06;0.369
2015-10-07;0.445
2015-10-08;0.332
2015-10-09;0.31
2015-10-10;0.299
2015-10-11;0.292
2015-10-12;0.284
2015-10-13;0.284
2015-10-14;0.281
2015-10-15;0.289
2015-10-16;0.282
2015-10-17;0.284
2015-10-18;0.283
2015-10-19;0.278
2015-10-20;0.271
2015-10-21;0.271
2015-10-22;0.268
2015-10-23;0.274
2015-10-24;0.264
2015-10-25;0.26
2015-10-26;0.258
2015-10-27;0.26
2015-10-28;0.258
2015-10-29;0.344
2015-10-30;0.286
2015-10-31;0.255
2015-11-01;0.258
2015-11-02;0.254
2015-11-03;0.252
2015-11-04;0.247
2015-11-05;0.247
2015-11-06;0.244
2015-11-07;0.255
2015-11-08;0.25
2015-11-09;0.246
2015-11-10;0.246
2015-11-11;0.233
2015-11-12;0.24
2015-11-13;0.242
2015-11-14;0.251
2015-11-15;0.239
2015-11-16;0.235
2015-11-17;0.238
2015-11-18;0.244
2015-11-19;0.255
2015-11-20;3.926
2015-11-21;2.668
2015-11-22;1.154
2015-11-23;0.847
2015-11-24;0.694
2015-11-25;0.879
2015-11-26;0.817
2015-11-27;0.684
2015-11-28;0.618
2015-11-29;0.883
2015-11-30;2.737
2015-12-01;3.052
2015-12-02;2.222
2015-12-03;1.614
2015-12-04;1.356
2015-12-05;1.228
2015-12-06;1.133
2015-12-07;1.076
2015-12-08;0.999
2015-12-09;1.729
2015-12-10;1.298
2015-12-11;1.101
2015-12-12;1.003
2015-12-13;0.925
2015-12-14;0.848
2015-12-15;0.793
2015-12-16;1.043
2015-12-17;1.099
2015-12-18;0.913
2015-12-19;0.84
2015-12-20;0.762
2015-12-21;0.998
2015-12-22;0.84
2015-12-23;0.758
2015-12-24;0.737
2015-12-25;0.672
2015-12-26;0.669
2015-12-27;0.653
2015-12-28;0.596
2015-12-29;0.596
2015-12-30;0.596
2015-12-31;0.677
2016-01-01;0.609
2016-01-02;0.881
2016-01-03;0.883
2016-01-04;1.343
2016-01-05;1.421
2016-01-06;1.577
2016-01-07;1.758
2016-01-08;1.904
2016-01-09;2.639
2016-01-10;3.015
2016-01-11;4.357
2016-01-12;4.26
2016-01-13;3.279
2016-01-14;2.502
2016-01-15;2.187
2016-01-16;1.853
2016-01-17;1.618
2016-01-18;1.402
2016-01-19;1.306
2016-01-20;1.197
2016-01-21;1.104
2016-01-22;1.039
2016-01-23;1.184
2016-01-24;1.068
2016-01-25;1.193
2016-01-26;1.513
2016-01-27;2.133
2016-01-28;2.894
2016-01-29;3.998
2016-01-30;3.637
2016-01-31;7.399
2016-02-01;7.898
2016-02-02;6.127
2016-02-03;5.417
2016-02-04;4.33
