;[m3/s]
;Q
2014-02-09;1.266
2014-02-10;1.035
2014-02-11;0.979
2014-02-12;0.875
2014-02-13;1.789
2014-02-14;1.862
2014-02-15;1.88
2014-02-16;2.203
2014-02-17;1.74
2014-02-18;1.512
2014-02-19;1.348
2014-02-20;1.325
2014-02-21;1.537
2014-02-22;1.344
2014-02-23;1.238
2014-02-24;1.153
2014-02-25;1.125
2014-02-26;1.042
2014-02-27;1.174
2014-02-28;1.294
2014-03-01;1.289
2014-03-02;1.164
2014-03-03;1.139
2014-03-04;1.066
2014-03-05;0.969
2014-03-06;0.906
2014-03-07;0.865
2014-03-08;0.827
2014-03-09;0.807
2014-03-10;0.807
2014-03-11;0.807
2014-03-12;0.768
2014-03-13;0.727
2014-03-14;0.729
2014-03-15;0.729
2014-03-16;0.729
2014-03-17;0.742
2014-03-18;0.687
2014-03-19;0.641
2014-03-20;0.661
2014-03-21;0.606
2014-03-22;0.869
2014-03-23;0.831
2014-03-24;0.727
2014-03-25;0.736
2014-03-26;0.621
2014-03-27;0.585
2014-03-28;0.585
2014-03-29;0.526
2014-03-30;0.517
2014-03-31;0.517
2014-04-01;0.517
2014-04-02;0.466
2014-04-03;0.453
2014-04-04;0.453
2014-04-05;0.453
2014-04-06;0.453
2014-04-07;0.453
2014-04-08;0.402
2014-04-09;0.357
2014-04-10;0.288
2014-04-11;0.278
2014-04-12;0.283
2014-04-13;0.233
2014-04-14;0.226
2014-04-15;0.226
2014-04-16;0.226
2014-04-17;0.226
2014-04-18;0.226
2014-04-19;0.25
2014-04-20;0.267
2014-04-21;0.226
2014-04-22;0.226
2014-04-23;0.241
2014-04-24;0.226
2014-04-25;0.277
2014-04-26;0.677
2014-04-27;1.925
2014-04-28;0.884
2014-04-29;0.99
2014-04-30;1.191
2014-05-01;1.042
2014-05-02;0.982
2014-05-03;1.201
2014-05-04;0.938
2014-05-05;0.733
2014-05-06;0.591
2014-05-07;0.89
2014-05-08;0.832
2014-05-09;0.903
2014-05-10;0.822
2014-05-11;0.858
2014-05-12;1.004
2014-05-13;1.108
2014-05-14;1.697
2014-05-15;1.239
2014-05-16;0.996
2014-05-17;0.851
2014-05-18;0.69
2014-05-19;0.655
2014-05-20;0.551
2014-05-21;0.518
2014-05-22;0.498
2014-05-23;0.524
2014-05-24;0.493
2014-05-25;0.453
2014-05-26;0.395
2014-05-27;0.428
2014-05-28;0.453
2014-05-29;0.319
2014-05-30;0.304
2014-05-31;0.298
2014-06-01;0.279
2014-06-02;0.292
2014-06-03;0.278
2014-06-04;0.287
2014-06-05;0.283
2014-06-06;0.225
2014-06-07;0.226
2014-06-08;0.228
2014-06-09;0.226
2014-06-10;0.22
2014-06-11;0.18
2014-06-12;0.178
2014-06-13;0.179
2014-06-14;0.176
2014-06-15;0.176
2014-06-16;0.176
2014-06-17;0.176
2014-06-18;0.149
2014-06-19;0.129
2014-06-20;0.129
2014-06-21;0.129
2014-06-22;0.129
2014-06-23;0.129
2014-06-24;0.23
2014-06-25;0.176
2014-06-26;0.139
2014-06-27;0.129
2014-06-28;0.182
2014-06-29;0.319
2014-06-30;0.389
2014-07-01;0.203
2014-07-02;0.168
2014-07-03;0.129
2014-07-04;0.149
2014-07-05;0.714
2014-07-06;0.289
2014-07-07;0.547
2014-07-08;1.292
2014-07-09;1.514
2014-07-10;1.245
2014-07-11;1.046
2014-07-12;1.105
2014-07-13;1.517
2014-07-14;1.028
2014-07-15;0.864
2014-07-16;0.603
2014-07-17;0.499
2014-07-18;0.433
2014-07-19;0.368
2014-07-20;0.437
2014-07-21;1.274
2014-07-22;6.353
2014-07-23;3.229
2014-07-24;2.356
2014-07-25;1.934
2014-07-26;1.743
2014-07-27;1.525
2014-07-28;1.312
2014-07-29;1.728
2014-07-30;1.795
2014-07-31;1.979
2014-08-01;1.454
2014-08-02;1.223
2014-08-03;1.216
2014-08-04;0.983
2014-08-05;0.835
2014-08-06;0.729
2014-08-07;0.774
2014-08-08;0.671
2014-08-09;0.62
2014-08-10;0.707
2014-08-11;1.228
2014-08-12;0.791
2014-08-13;0.655
2014-08-14;0.671
2014-08-15;0.891
2014-08-16;0.796
2014-08-17;0.629
2014-08-18;0.58
2014-08-19;0.523
2014-08-20;0.526
2014-08-21;0.453
2014-08-22;0.453
2014-08-23;0.453
2014-08-24;0.461
2014-08-25;0.428
2014-08-26;0.696
2014-08-27;0.639
2014-08-28;0.554
2014-08-29;0.51
2014-08-30;0.501
2014-08-31;0.733
2014-09-01;0.864
2014-09-02;0.606
2014-09-03;0.517
2014-09-04;0.512
2014-09-05;0.453
2014-09-06;0.453
2014-09-07;0.453
2014-09-08;0.453
2014-09-09;0.395
2014-09-10;0.358
2014-09-11;0.334
2014-09-12;0.436
2014-09-13;0.483
2014-09-14;0.392
2014-09-15;0.392
2014-09-16;0.358
2014-09-17;0.334
2014-09-18;0.334
2014-09-19;0.344
