;[m3/s]
;Q
2014-06-15;0.071
2014-06-16;0.065
2014-06-17;0.092
2014-06-18;0.11
2014-06-19;0.101
2014-06-20;0.071
2014-06-21;0.063
2014-06-22;0.06
2014-06-23;0.064
2014-06-24;0.162
2014-06-25;0.081
2014-06-26;0.061
2014-06-27;0.059
2014-06-28;0.073
2014-06-29;0.184
2014-06-30;0.165
2014-07-01;0.113
2014-07-02;0.127
2014-07-03;0.117
2014-07-04;0.094
2014-07-05;0.433
2014-07-06;0.364
2014-07-07;0.453
2014-07-08;0.646
2014-07-09;0.563
2014-07-10;0.952
2014-07-11;0.934
2014-07-12;1.059
2014-07-13;0.912
2014-07-14;0.862
2014-07-15;0.66
2014-07-16;0.455
2014-07-17;0.338
2014-07-18;0.253
2014-07-19;0.203
2014-07-20;0.721
2014-07-21;1.807
2014-07-22;8.879
2014-07-23;4.469
2014-07-24;1.501
2014-07-25;0.797
2014-07-26;0.566
2014-07-27;0.421
2014-07-28;0.456
2014-07-29;0.577
2014-07-30;1.351
2014-07-31;1.71
2014-08-01;1.15
2014-08-02;0.78
2014-08-03;0.564
2014-08-04;0.425
2014-08-05;0.396
2014-08-06;0.473
2014-08-07;0.772
2014-08-08;0.464
2014-08-09;0.387
2014-08-10;0.572
2014-08-11;0.775
2014-08-12;0.417
2014-08-13;0.403
2014-08-14;0.378
2014-08-15;0.546
2014-08-16;0.509
2014-08-17;0.405
2014-08-18;0.338
2014-08-19;0.293
2014-08-20;0.237
2014-08-21;0.227
2014-08-22;0.202
2014-08-23;0.186
2014-08-24;0.196
2014-08-25;0.18
2014-08-26;0.18
2014-08-27;0.191
2014-08-28;0.196
2014-08-29;0.216
2014-08-30;0.211
2014-08-31;0.253
2014-09-01;0.356
2014-09-02;0.227
2014-09-03;0.199
2014-09-04;0.179
2014-09-05;0.166
2014-09-06;0.166
2014-09-07;0.158
2014-09-08;0.141
2014-09-09;0.133
2014-09-10;0.127
2014-09-11;0.127
2014-09-12;0.198
2014-09-13;0.278
2014-09-14;0.167
2014-09-15;0.15
2014-09-16;0.127
2014-09-17;0.127
2014-09-18;0.127
2014-09-19;0.146
2014-09-20;0.157
2014-09-21;0.698
2014-09-22;0.606
2014-09-23;0.337
2014-09-24;0.293
2014-09-25;0.286
2014-09-26;0.208
2014-09-27;0.18
2014-09-28;0.166
2014-09-29;0.156
2014-09-30;0.154
2014-10-01;0.146
2014-10-02;0.143
2014-10-03;0.127
2014-10-04;0.127
2014-10-05;0.134
2014-10-06;0.131
2014-10-07;0.232
2014-10-08;0.228
2014-10-09;0.154
2014-10-10;0.184
2014-10-11;0.187
2014-10-12;0.163
2014-10-13;0.158
2014-10-14;0.137
2014-10-15;0.127
2014-10-16;0.276
2014-10-17;0.671
2014-10-18;0.396
2014-10-19;0.284
2014-10-20;0.288
2014-10-21;0.538
2014-10-22;0.555
2014-10-23;0.41
2014-10-24;0.339
2014-10-25;0.29
2014-10-26;0.252
2014-10-27;0.218
2014-10-28;0.208
2014-10-29;0.19
2014-10-30;0.188
2014-10-31;0.179
2014-11-01;0.166
2014-11-02;0.147
2014-11-03;0.146
2014-11-04;0.152
2014-11-05;1.21
2014-11-06;1.002
2014-11-07;0.621
2014-11-08;0.487
2014-11-09;0.394
2014-11-10;0.364
2014-11-11;0.32
2014-11-12;0.329
2014-11-13;0.755
2014-11-14;0.502
2014-11-15;0.849
2014-11-16;2.782
2014-11-17;1.809
2014-11-18;1.328
2014-11-19;0.957
2014-11-20;0.728
2014-11-21;0.614
2014-11-22;0.536
2014-11-23;0.462
2014-11-24;0.412
2014-11-25;0.371
2014-11-26;0.344
2014-11-27;0.329
2014-11-28;0.304
2014-11-29;0.276
2014-11-30;0.27
2014-12-01;0.312
2014-12-02;0.301
2014-12-03;0.276
2014-12-04;0.27
2014-12-05;0.244
2014-12-06;0.296
2014-12-07;0.286
2014-12-08;0.31
2014-12-09;0.338
2014-12-10;0.323
2014-12-11;0.448
2014-12-12;0.425
2014-12-13;0.391
2014-12-14;0.405
2014-12-15;0.412
2014-12-16;0.394
