model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
30;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
31;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
32;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
33;500.0;1.5;1.0;1.0;1.272;1.0;1.0;1.0;0.25;5.0;5.0;0.954;1.0;1.0;1.0;0.25;4.5;4.5;0.528;1.0;1.0;0.25;1.0;0.00125;0.000231481;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
34;493.91116;4.9978642;7.470555;1.6082972;3.3082063;9.594157;1.0841236;1.6582595;0.25169063;2.8336754;9.279097;2.8774796;2.3841686;0.7559627;1.6582595;0.13768126;2.8336754;3.1987472;1.0082786;0.72747976;0.33510146;0.13768126;1.1095488;0.001046256;0.000180669;1.0991745;1.038845;0.20645843;;;;;;;;;;;;;;;;;;;
35;437.89426;4.767559;5.1039734;9.991164;2.1601677;3.3806763;0.92340696;1.4216839;0.4017276;3.4829123;5.6327686;1.6412331;0.8622819;2.4905124;1.3956827;0.19816801;3.4829123;2.2502148;1.1129613;0.8622819;0.77321255;0.19816801;1.0934633;0.000769318;0.000395978;0.9209167;1.0484359;0.55380553;;;;;;;;;;;;;;;;;;;
36;425.9843;4.586368;4.5743318;1.041554;2.643123;1.3811616;1.3629289;6.6620784;0.2869864;4.461549;2.7263708;1.9408275;0.6583157;1.6933974;3.4493184;0.2869864;4.461549;2.7263708;0.8526228;0.6583157;0.3489085;0.2869864;1.0895697;0.001050069;0.000205732;0.9937968;1.0002363;0.9732013;;;;;;;;;;;;;;;;;;;
37;495.141;3.4891565;4.17164;5.4081163;2.7018645;7.6462526;1.1044898;3.113114;0.23853727;5.626604;4.8587856;1.6647397;2.2220056;1.1636318;3.113114;0.23853727;5.626604;4.8587856;0.8494838;1.4465287;0.7383084;0.15439372;1.0300186;0.000813549;0.000244956;1.0737144;0.9518846;1.4544607;;;;;;;;;;;;;;;;;;;
38;445.38187;3.0911653;2.2247868;4.2409225;2.776547;5.035084;1.9556178;6.1765246;0.21677397;3.9264307;9.771421;1.7866654;2.0914633;0.5234646;0.4056865;0.21677397;3.2419305;9.41558;0.9180225;1.2848412;0.14715251;0.21677397;1.0049766;0.001076796;0.00026015;0.90806717;0.9940385;2.9171097;;;;;;;;;;;;;;;;;;;
39;533.96277;3.1451144;3.9269674;7.9628043;3.8832371;3.9458146;0.5603184;6.031299;0.43525174;9.621243;9.012112;1.6111574;1.3949264;1.7569044;0.28473172;0.10794158;9.104764;2.249961;0.95184094;1.2914443;0.5477701;0.10794158;1.1123742;0.000551088;0.000176378;0.9048519;0.9609735;1.741004;;;;;;;;;;;;;;;;;;;
40;487.4304;1.0597478;8.901189;7.595601;2.0714066;5.3366055;1.8841166;5.3905544;0.18338525;9.35437;6.11067;2.0714066;2.1956592;2.4076114;1.2082622;0.18338525;6.120363;6.11067;1.0151491;1.1478503;0.29180026;0.18338525;1.1119157;0.000629214;0.000333597;0.95419556;0.94027615;0.044451274;-3.0533781873671098;0.38345260447476903;6.983600027597079;2.0688966163437783;0.27437623366600383;0.8593266935416626;0.7337515357948731;0.466908896982947;0.7804878048780488;0.6097560975609756;0.2926829268292683;0.663282527001705;-0.663282527001705;-0.447257884214017;0.447257884214017;0.8571428571428572;0.9760172692296537;0.7243324671516207;5.7183110068136065
41;566.53564;2.997878;1.8297191;6.6152525;2.6043472;9.362996;1.3442203;2.3296044;0.28372318;3.9870358;4.630661;2.6043472;2.267274;2.056265;2.3296044;0.16000444;3.9870358;4.494706;1.1844445;0.53950787;0.8060046;0.16000444;1.0188804;0.001347858;9.81823e-05;1.0824286;1.0073797;1.5005112;;;;;;;;;;;;;;;;;;;
42;540.05304;3.4950783;9.62053;1.5801207;2.984912;3.1772683;2.0678713;3.7603016;0.2693788;5.589855;3.3121657;2.6266413;0.51842713;1.0003037;3.7603016;0.18936999;5.589855;2.3066027;0.8607455;0.51842713;0.14561003;0.18936999;1.0378106;0.000863516;0.000397672;0.9993923;0.99776405;1.236078;;;;;;;;;;;;;;;;;;;
43;462.47333;3.6348248;1.8782184;3.05533;2.172792;2.724732;1.1677942;6.2608414;0.28851196;6.8592343;3.1029513;2.172792;0.62288827;2.0202048;4.615824;0.12758835;6.8592343;3.1029513;1.0911907;0.62288827;0.5294816;0.12758835;1.197795;0.001021363;0.000290255;0.9774904;1.0521975;0.4658571;-3.2269339200969918;0.2133680784222065;6.673593801934874;1.9034891707985935;0.3108098442139824;0.8417205077358371;0.7649416390737338;0.47132511014562734;0.8048780487804879;0.6829268292682927;0.2682926829268293;0.598559975127438;-0.598559975127438;-0.40711126619658333;0.40711126619658333;0.8095238095238096;0.9697403313248991;0.7419372093767366;5.458937758438223
44;566.45197;2.328558;4.194488;1.7568417;2.9670758;5.7585945;0.5362685;1.6379467;0.36692616;3.4910681;3.2457948;2.8992429;1.6712726;1.9341486;1.6379467;0.36315167;2.2398872;3.2457948;0.93887043;0.5168714;0.94941634;0.14435118;1.0758407;0.000612484;0.000327969;1.0820563;1.0722339;2.0424635;;;;;;;;;;;;;;;;;;;
45;560.9529;2.8851295;6.417386;9.808685;2.2142577;5.116106;2.0265553;4.2888637;0.45469484;7.0265594;6.256368;2.2142577;0.58452785;0.5053194;2.0596273;0.26500663;6.376074;6.256368;1.0006707;0.58452785;0.57821935;0.26500663;1.109593;0.001042976;9.40592e-05;1.0203164;0.92967993;0.68536586;;;;;;;;;;;;;;;;;;;
46;477.49567;3.5452423;8.524357;2.0628242;3.6755645;2.2631583;0.7650768;1.9986687;0.16306464;5.36428;7.5968084;3.0850115;1.7790102;0.83839154;1.7752947;0.16306464;5.36428;5.1499557;1.0989414;0.66120374;0.37639847;0.16306464;1.1908619;0.001180481;0.000460089;1.0918676;0.9514794;2.5323322;;;;;;;;;;;;;;;;;;;
47;457.66562;2.713222;2.2066035;9.701454;2.5401688;6.1839814;1.4555523;1.6644931;0.38664663;2.2485156;4.371242;2.5401688;1.1882203;1.9532835;1.6644931;0.38664663;2.2485156;3.0750513;1.132096;1.1738439;0.8343226;0.3308175;1.1644752;0.000477412;0.000391314;1.0114346;0.99257964;0.667884;;;;;;;;;;;;;;;;;;;
48;536.4991;4.848541;2.1840303;1.9256808;3.0460224;6.1278625;2.165991;3.8695176;0.1571637;4.0553627;9.873914;1.7865169;1.5065812;2.2475634;1.9064935;0.1571637;4.0553627;8.851888;1.1138062;0.85799366;0.74703544;0.1571637;1.0628971;0.001094936;0.000433835;0.9457126;0.9477101;1.9966685;;;;;;;;;;;;;;;;;;;
49;427.9505;3.8217685;6.618241;8.746296;3.2366357;6.4094205;2.34999;3.011956;0.10266296;3.4664135;5.7344184;1.7844266;2.3339672;1.4225855;3.011956;0.10266296;3.4664135;3.9581594;1.108352;1.4762863;0.10095856;0.10266296;1.1454422;0.000952763;0.000291635;0.9055741;1.091451;0.53909385;;;;;;;;;;;;;;;;;;;
