[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1_1;-7_1_1;-6_1_1;-5_1_1;-7_2_1;-5_2_1;-4_2_1;1-3_2_1;1.8-3_2_1;3-3_2_1;4-3_2_1;-7_3_1;-5_3_1;-4_3_1;1-3_3_1;1.8-3_3_1;3-3_3_1;4-3_3_1;-7_4_1;-5_4_1;-4_4_1;1.8-3_4_1;-8_1_2;-7_1_2;-6_1_2;-5_1_2;-7_2_2;-5_2_2;-4_2_2;1-3_2_2;1.8-3_2_2;3-3_2_2;4-3_2_2;-7_3_2;-5_3_2;-4_3_2;1-3_3_2;1.8-3_3_2;3-3_3_2;4-3_3_2;-7_4_2;-5_4_2;-4_4_2;1.8-3_4_2;rch;offset;complete
480.94788;198.19481;626.0662;5.6532497;365.92566;86.024124;4.95902;1.5868185;0.70835507;1.6543641;1.4852794;243.7065;30.294266;3.6300054;0.656938;0.70835507;0.6992229;0.2179954;50.799297;29.454031;3.5799084;0.70835507;91.54616;217.48926;862.39276;91.39674;338.49774;44.663445;3.0582256;0.77550584;0.9385666;1.4361519;0.91640335;338.49774;44.663445;9.581262;0.25618175;0.9385666;1.4361519;0.35206124;73.83085;4.3939815;1.3684832;0.9385666;0.8250465;0.0;0
234.64026;885.66986;527.5634;39.22668;154.12515;20.94233;3.6776717;0.52618986;0.7826642;1.535918;0.9142656;44.60091;20.94233;5.3713374;0.52618986;0.41735855;0.59095055;0.9142656;31.672346;20.94233;9.714562;0.41735855;151.89941;804.22546;797.7744;94.331566;21.61499;69.73463;0.31846547;0.5210657;1.7737166;1.4248574;0.31893018;21.61499;69.73463;9.645496;0.5210657;0.6065587;1.4248574;0.31893018;14.715252;5.8806496;8.941244;0.6065587;0.76244164;0.0;0
673.11584;765.36035;540.9158;80.037605;339.30743;0.32972723;7.763562;1.0170213;1.8838209;0.30316168;0.6760627;225.97876;0.32972723;8.225738;1.0170213;0.7622029;0.30316168;0.6760627;95.73898;0.32972723;8.766375;0.3009996;65.0229;372.86792;452.98856;85.6541;632.16766;22.563526;0.19641109;1.9753428;0.04950937;1.8388076;1.77731;26.323545;3.2213864;8.5633;0.7654086;0.04950937;1.5849742;1.2762547;8.76574;3.2213864;3.471912;0.04950937;1.0309354;0.0;0
442.7804;248.33553;24.787575;40.820778;880.45905;13.135633;7.360446;0.89246684;0.08104967;1.6900524;0.9802028;484.6774;13.135633;1.6350983;0.89246684;0.08104967;0.4248416;0.9802028;92.736664;13.135633;5.143199;0.08104967;975.35004;452.87262;849.35126;83.782425;954.26764;56.64906;1.1283374;1.1289864;1.5904286;1.2800559;1.0349404;44.485577;56.64906;0.79706854;1.0803668;0.8375369;1.2800559;0.047013596;29.180025;56.64906;5.5254416;0.8375369;1.0297892;0.0;0
834.35144;159.23672;504.4748;82.25259;111.145256;27.034042;6.2842164;1.1946573;0.6113255;0.16759968;1.860699;74.02274;27.034042;0.023014368;0.41706353;0.14607649;0.16759968;0.03993084;32.354153;27.034042;3.295038;0.14607649;663.3968;353.1517;884.8006;12.913544;780.3512;32.306763;3.3742304;0.40350965;0.30852208;0.60778576;0.8688273;487.16364;31.252645;9.877073;0.40350965;0.30852208;0.088620685;0.7723621;80.60046;31.252645;5.936929;0.30852208;0.79720104;0.0;0
703.26245;323.07037;627.53186;10.119854;958.71704;65.25921;0.75663805;1.9765238;0.98998725;0.1420506;0.507996;422.72562;65.25921;5.468656;0.85507697;0.98998725;0.1420506;0.507996;50.385868;8.557511;1.6485668;0.98998725;567.68744;387.43744;19.121439;80.61135;257.65036;40.29556;9.46638;1.1787899;0.45461574;0.03323668;1.40754;257.65036;3.9287028;3.683522;0.3122089;0.45461574;0.03323668;0.9700606;14.561004;3.9287028;7.8148017;0.45461574;0.8445265;0.0;0
319.24298;403.97107;662.11914;51.203068;116.42156;36.32806;2.376126;0.21639286;0.18192808;1.6469872;0.40903482;77.53676;33.45632;0.94083893;0.21639286;0.18192808;0.94784695;0.40903482;64.66638;33.45632;1.3873105;0.18192808;665.15076;410.84717;70.8297;35.60472;762.50134;94.37325;4.5668774;0.34710303;0.14725205;0.80116504;1.558734;762.50134;94.37325;7.290327;0.34710303;0.14725205;0.80116504;1.5073785;52.948154;45.050274;7.707006;0.14725205;1.2444878;0.0;0
833.9372;253.32683;338.81808;58.289154;368.41132;11.912867;0.9506427;0.97443837;0.97224057;0.3732156;1.0724839;245.36194;1.9116101;9.622146;0.20530984;0.04811702;0.3732156;1.0724839;26.774517;1.9116101;1.5656862;0.04811702;702.6253;768.48364;589.77997;15.962162;719.90356;45.29935;9.477051;1.2081139;1.3191795;1.8583434;0.06967193;719.90356;45.29935;4.2078204;0.70088035;0.32464302;0.043574113;0.06967193;94.941635;12.491284;1.1176708;0.32464302;0.93960166;0.0;0
806.71674;998.90265;476.56952;89.09777;610.2431;98.15919;9.789974;1.9183837;0.22318655;0.89964736;0.9319836;406.4219;76.35144;2.0453944;1.0168983;0.22318655;0.89964736;0.9319836;66.54879;76.35144;5.32514;0.22318655;570.3887;571.34796;51.84128;66.91772;12.633118;24.709688;1.9874421;1.7615563;0.83090806;1.2947079;1.0985484;12.633118;24.709688;5.1284285;1.0083367;0.83090806;1.2947079;0.19712849;4.206828;5.365421;4.3513618;0.4675875;1.0239825;0.0;0
393.6036;237.35582;639.9475;9.452779;839.463;10.9119215;1.2865511;0.702275;1.6771866;1.8739;0.30809724;90.698616;10.9119215;7.3647003;0.31574628;1.2010465;0.32374662;0.271643;47.848156;3.853752;6.999015;1.2010465;794.5806;790.255;643.11005;79.173065;177.50381;12.780522;1.7005247;1.0791278;0.52216536;0.24663414;1.4086964;177.50381;12.780522;2.0159576;1.0791278;0.52216536;0.24663414;1.405508;37.639847;12.780522;3.818001;0.52216536;1.2271547;0.0;0
295.44482;832.3285;434.02246;33.92621;152.14699;35.576523;9.6722555;1.4837886;0.54746795;0.42583776;1.165508;101.329895;35.576523;7.113651;0.21343713;0.54746795;0.42583776;1.165508;12.795801;35.576523;2.9710882;0.54746795;584.7058;575.92084;350.66904;25.045902;729.37537;75.74141;3.5281923;1.0530515;1.6771476;1.8214527;0.24871394;729.37537;13.524702;9.002358;1.0530515;1.3426961;1.3509492;0.24871394;83.43225;13.524702;5.774667;0.6590847;1.161188;0.0;0
685.67053;167.52657;962.51385;65.96887;149.69121;87.67277;1.1359946;1.8592482;1.0507922;1.5633616;1.1532358;99.69434;83.31625;1.671251;0.88851386;0.5247969;0.29438937;0.7193334;33.12283;81.988945;9.842549;0.5247969;151.82587;63.794262;508.25766;18.87751;875.0439;89.62326;1.8329163;0.08624756;1.8900533;0.8986008;1.2918473;875.0439;85.66295;6.9267735;0.08624756;1.6404512;0.72240734;1.2918473;74.703545;72.2708;4.083638;0.23232934;0.90724283;0.0;0
148.35497;980.4422;708.3877;97.99502;632.09436;65.29627;8.623681;0.48880878;1.2404525;1.1730353;1.2148074;420.97485;65.29627;0.26413545;0.48880878;0.34658766;0.02324822;0.492478;26.49715;36.416874;4.6733546;0.050643634;150.79117;866.8666;917.81384;12.118956;466.6798;43.909622;8.950236;1.244523;1.0596806;0.12589292;0.43738654;452.65564;24.552515;5.7537823;1.244523;1.0596806;0.12589292;0.43738654;10.095856;24.552515;5.2421985;0.02612559;1.1136056;0.0;0
207.90912;233.26822;11.261009;84.842606;299.81915;32.04781;5.7505555;0.1719467;0.61839396;0.81733453;0.8329754;199.67957;24.676256;2.3099983;0.1719467;0.18234082;0.025771486;0.8329754;84.05211;24.676256;5.9598756;0.18234082;95.05551;219.45389;746.12335;74.94178;796.4407;62.883533;9.746219;0.14370716;1.6033107;1.6357937;0.26648083;242.99586;51.80785;1.9331182;0.08412281;0.35592586;1.4395896;0.26648083;12.720377;51.80785;5.232879;0.35592586;1.0588272;0.0;0
17.288647;427.47168;33.046688;84.664856;648.05707;97.03764;8.318939;0.16062912;0.7091163;0.9238692;0.58719695;89.143364;83.83273;5.414305;0.16062912;0.7091163;0.9238692;0.58719695;54.77701;65.863434;5.36444;0.7091163;205.17957;271.31183;366.24606;51.335903;601.628;90.76958;4.4969964;1.1494303;0.16398935;1.9426917;1.3897325;601.628;13.557529;4.1084304;0.8415732;0.16398935;1.5574397;0.5814577;22.519794;13.557529;9.822729;0.16398935;1.0708158;0.0;0
789.0551;562.97845;693.3972;51.766533;822.3774;50.159744;6.3439994;0.15525731;1.025927;0.82651806;0.66337365;547.70337;50.159744;1.2724115;0.15525731;0.9897594;0.82651806;0.66337365;26.205656;32.279137;7.7126017;0.9897594;51.29845;419.29074;902.5305;75.10716;254.9148;23.220913;3.512124;1.1248981;1.3785955;0.7665619;0.20843527;107.88647;15.082273;3.9778035;1.0795301;1.3785955;0.61511964;0.20843527;42.38846;11.203978;4.620475;1.2860222;0.811239;0.0;0
