model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;converged;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
6340;574.6062;50.699375;8.213474;3.2112513;38.835564;2.7470624;1.0665516;1.9375988;6.3424726;4.5667014;8.744227;22.537254;0.5104528;1.5211309;1.9375988;6.3424726;2.5268362;8.744227;17.27511;0.5104528;2.4548843;1.044186;4.697175;233.7494;1.0418017;0.0;0;;;;;;;;;;;;;;;;
6341;581.1185;53.508205;9.2590275;7.3833694;45.187725;3.358795;0.5892591;8.588323;3.8664546;1.178809;5.2482543;12.296015;2.0693572;0.7014033;5.1071854;3.8664546;1.178809;0.34718794;6.364026;1.3449568;1.1057792;1.0916388;7.630308;201.02054;1.0184169;0.0;0;;;;;;;;;;;;;;;;
6342;576.1606;46.398;3.807611;6.803594;35.34644;2.6068647;1.2558293;1.7880781;3.059899;0.15256329;8.773539;27.78119;0.778401;0.8870889;1.6714246;3.059899;0.15256329;6.664417;11.144683;0.778401;1.1718704;2.406128;5.029437;1.9184414;0.9644042;0.0;0;-11.915718764111988;-3.4745529689971875;16.598022685112404;6.474030288202954;2.7818222590606516;3.3490023656149366;0.12772260169499927;0.3520927791814109;0.3170731707317073;0.17073170731707318;0.024390243902439025;0.26987665964907703;-0.26987665964907703;-0.5626557843092554;0.5626557843092554;0.667452743812972
6343;490.35675;40.18498;6.741482;5.5334306;30.257534;2.6513228;2.2045863;9.241025;1.0880245;9.205712;1.6312803;11.865224;1.3313705;0.60959077;4.6043153;1.0880245;2.6100106;1.6312803;5.932612;1.3313705;2.0634754;1.0880245;4.039023;233.76593;1.0173023;0.0;0;;;;;;;;;;;;;;;;
6344;456.81323;52.43214;6.6185207;5.9507265;48.285023;6.436362;0.66253924;7.5726504;0.1318231;3.5877666;8.798206;21.513723;2.4376743;0.6297958;6.821826;0.1318231;3.5877666;8.798206;7.700926;1.4430925;1.3786551;0.1318231;7.783451;84.9997;1.0282937;0.0;0;;;;;;;;;;;;;;;;
6345;527.5848;40.80191;8.976225;2.967916;37.220673;5.0359793;2.3040767;8.174035;3.4970067;0.75988597;8.553327;21.16805;0.55319864;2.2427528;2.066358;3.4970067;0.75988597;1.423431;13.987208;0.55319864;0.9412751;1.4239807;1.9752328;227.6599;1.0239192;0.0;0;;;;;;;;;;;;;;;;
6346;590.941;48.655865;4.9696264;1.0995339;35.041805;3.176877;0.81867015;5.1036363;5.728223;3.7712872;5.6555996;13.366155;1.6583314;1.7624052;5.0459895;3.6381655;2.2961438;5.6555996;6.6830773;1.5867674;2.4840844;1.1342965;9.309048;74.62844;0.9651524;0.0;0;;;;;;;;;;;;;;;;
6347;545.41016;56.495506;2.6304607;8.186451;39.521152;3.0457215;1.4179432;5.0713906;9.009267;6.820072;6.4446783;20.937624;1.0783901;0.8578549;5.0713906;8.310947;5.1453247;6.4446783;14.587289;0.5609098;1.5980117;0.5940509;5.0517282;132.9737;0.9697898;0.0;0;;;;;;;;;;;;;;;;
6348;498.96973;59.97695;2.7480814;8.992641;34.9874;2.2034395;2.2823057;1.2876332;9.854569;5.5924177;7.445414;18.357885;2.2034395;1.6051246;1.2876332;8.2501335;5.5924177;7.445414;15.751573;1.334002;1.2748764;1.2207901;6.5444684;109.138824;0.95489043;0.0;0;;;;;;;;;;;;;;;;
6349;537.7617;47.40606;1.366616;7.9786105;44.664875;7.1954017;0.6545083;9.345831;1.072334;2.9406524;9.941636;10.849676;1.0186455;1.9249337;2.8998787;1.072334;2.6621132;6.72757;2.0566387;1.0186455;1.7217782;1.072334;1.0025524;213.42764;0.99435127;0.0;0;;;;;;;;;;;;;;;;
6350;554.50757;40.40254;1.8166293;7.342117;36.13593;5.231013;1.6699662;3.9561634;2.9363503;2.794091;4.2362704;24.732521;2.1137233;0.9021585;2.6961133;2.9363503;2.794091;4.2362704;13.683596;0.7445112;1.0646484;0.58725977;7.5495605;160.12619;1.0173162;0.0;0;;;;;;;;;;;;;;;;
6351;583.8539;49.858063;3.641098;5.1945095;49.83382;6.9473667;2.0039318;5.7479873;0.411961;6.33877;4.677336;16.66025;1.5644917;1.3607359;5.7479873;0.411961;6.33877;1.0415927;3.446094;1.5644917;1.2413749;0.411961;7.0721664;197.17151;1.0033565;0.0;0;;;;;;;;;;;;;;;;
6352;552.6431;45.52551;1.8333226;6.213518;35.524567;4.3440366;1.6524228;0.8185762;3.5193026;3.8981833;3.3977718;13.221196;1.7827653;1.842334;0.8185762;3.5193026;3.8981833;1.7055134;1.2920474;1.7827653;2.4076126;2.1050124;3.0806904;199.15688;0.9955397;0.0;0;;;;;;;;;;;;;;;;
6353;486.63812;57.8555;8.826932;7.1938076;37.23749;1.6735815;0.5818178;2.064059;6.5686502;6.090919;2.02525;11.732803;1.2431927;1.6817123;2.064059;0.23916489;3.6171703;2.02525;5.8664017;0.62160355;2.3389301;0.23916489;5.8321157;140.97664;1.0160888;0.0;0;;;;;;;;;;;;;;;;
6354;454.7213;54.230064;4.194369;1.1386763;40.767628;8.389632;1.5918685;8.712099;4.215794;2.4823594;2.8500745;23.760202;0.72437125;1.6375084;5.589135;1.8437332;2.0633898;2.8500745;7.1500187;0.72437125;1.3222008;0.8620118;5.9445605;135.82272;0.96831894;0.0;0;;;;;;;;;;;;;;;;
6355;499.97632;48.086464;4.2530527;4.755402;30.066666;1.2783718;0.79536843;4.42027;8.141365;3.5697546;6.787109;18.391977;1.2783718;2.3918333;0.837745;7.6874886;1.9737846;6.787109;4.4744244;1.2783718;0.574915;0.64884216;5.569089;80.25263;0.9802111;0.0;0;;;;;;;;;;;;;;;;
6356;465.6356;55.240566;7.793308;2.9446473;30.08274;4.2441225;1.3097482;3.903311;0.7631557;8.343079;0.49638546;29.23033;0.754175;2.2380395;3.5780275;0.7631557;8.343079;0.49638546;11.58527;0.754175;1.5794002;0.7631557;6.219293;1.886629;0.974488;0.0;0;-9.794960107822757;-0.8690307149138334;15.221962520451715;5.273611717008976;1.4326964666374913;2.0736255062683013;0.3454747755833141;0.39727205524880543;0.4634146341463415;0.3170731707317073;0.17073170731707318;0.2750602087291284;-0.2750602087291284;-0.576906889126789;0.576906889126789;0.5644354444049118
6357;588.5529;46.824116;3.6421723;4.216487;34.675503;6.2246976;0.9483337;2.7026412;6.4305353;5.591431;7.088334;29.124031;1.8704805;2.3490434;2.1399262;5.787109;5.591431;7.088334;12.583023;1.5502636;1.4701891;1.0616003;6.2201276;217.13992;0.9894305;0.0;0;;;;;;;;;;;;;;;;
6358;501.59317;50.435272;7.408159;7.7180085;31.633305;6.9469056;2.0128498;9.599057;9.9853115;3.992508;9.484422;13.869831;1.0391114;1.9199184;4.268724;5.9841566;2.5539892;3.7139418;13.580727;1.0391114;0.8645342;1.3821564;1.3874695;70.624084;1.0482633;0.0;0;;;;;;;;;;;;;;;;
6359;494.41125;58.455704;8.384049;4.2068157;45.20135;5.2839255;2.1143768;6.786584;1.9532739;2.1640506;2.4992402;11.991091;0.78546447;1.7270863;3.9600368;1.9532739;2.1640506;2.4992402;6.8185434;0.78546447;1.262037;0.6703516;4.2225347;249.44403;1.0411807;0.0;0;;;;;;;;;;;;;;;;
6360;469.63925;44.003147;4.17762;7.625762;47.436348;8.170027;0.91312724;4.9881454;9.651192;6.0926085;2.7615147;20.006104;0.96814007;0.95769155;4.9881454;4.605546;6.0926085;1.955456;12.356748;0.96814007;1.5815784;1.6625346;9.581868;97.01976;1.030375;0.0;0;;;;;;;;;;;;;;;;
6361;527.8814;46.26116;5.248089;9.743667;38.264877;5.26425;1.7824318;9.553852;7.705224;4.099391;8.986672;13.6993065;1.1092921;2.3024163;7.021539;5.0578237;4.099391;0.5952645;6.8496532;0.8051802;2.2847831;0.95140624;2.2419467;230.84293;0.95820814;0.0;0;;;;;;;;;;;;;;;;
6362;504.01025;57.71187;3.8322835;9.302783;40.330368;8.505944;2.114496;5.794652;3.2981045;3.2864463;9.60645;19.097656;0.6360745;1.3688124;5.794652;3.2981045;3.2864463;6.480935;3.2039165;0.6360745;1.1368684;2.036337;6.9960613;127.36939;1.0211323;0.0;0;;;;;;;;;;;;;;;;
6363;425.80978;49.237568;4.7507944;8.432296;42.25487;3.1463935;1.3717222;9.311953;4.2943945;6.440451;7.4966955;12.4606905;1.5308583;1.0146441;9.311953;4.2943945;6.440451;2.0272505;10.520953;1.0140007;1.1570123;1.7764606;7.072214;139.39209;0.9981094;0.0;0;;;;;;;;;;;;;;;;
6364;573.84155;46.357777;6.184799;8.662216;31.89762;5.2000875;2.3342252;1.6798384;1.1568198;5.924969;2.2951887;18.8941;2.4903045;1.5143057;1.6798384;1.1568198;5.924969;0.21309817;13.567864;1.8153381;2.0844738;1.1568198;8.597644;117.45317;1.0048121;0.0;0;;;;;;;;;;;;;;;;
6365;471.80255;40.74597;4.0817213;4.484784;39.39633;1.1815277;0.93599916;4.1645985;6.8599973;2.2097287;5.0553308;12.369605;1.1815277;1.6680229;4.1645985;2.3456082;2.2097287;5.0553308;9.463959;1.1815277;1.472231;1.464123;3.030869;46.677013;0.9710881;0.0;0;;;;;;;;;;;;;;;;
6366;486.5157;48.379063;5.12361;7.5573997;49.18748;6.1612644;0.75281537;5.515517;5.655684;7.6968684;8.431047;29.773563;2.019335;1.4080776;1.1869997;5.655684;7.6968684;8.431047;17.15576;1.904854;1.3525113;0.6162687;3.2405913;150.81686;0.9987202;0.0;0;;;;;;;;;;;;;;;;
6367;441.13342;50.012024;5.4156356;6.9698243;34.157658;4.5632663;0.80624187;1.8692462;1.8917478;7.794692;6.043717;12.753083;1.1603234;0.97229135;1.0572956;1.8917478;4.34689;4.6391816;6.3765416;1.1603234;1.0936897;0.9645853;4.9080215;49.155975;1.023235;0.0;0;;;;;;;;;;;;;;;;
6368;510.67963;48.126656;1.1229845;9.844318;31.68118;7.098814;2.3256152;6.384543;5.3056855;6.1349854;2.3058083;13.014227;1.2722371;0.71520096;2.437596;1.3971666;6.1349854;2.3058083;3.6155996;1.2722371;1.6821164;1.3971666;3.004084;13.494986;1.046563;0.0;0;;;;;;;;;;;;;;;;
6369;540.411;45.549183;2.3892057;6.1315765;35.611423;7.6552362;1.7404398;7.3971925;9.570502;6.1230655;0.4407039;13.150476;0.52883047;2.4890099;6.6712966;6.5827904;1.3482957;0.4407039;3.2519288;0.52883047;1.0227153;1.8913141;9.795187;90.065445;0.9724153;0.0;0;;;;;;;;;;;;;;;;
6370;576.2331;47.382603;5.8265066;4.8108716;40.958496;4.840389;0.73340774;2.4671226;9.68371;2.991669;4.012622;17.18945;0.98346025;0.66209674;2.4671226;0.47819012;0.2871998;1.0771341;11.215322;0.98346025;0.85489947;0.47819012;3.1831496;246.20639;1.0307533;0.0;0;;;;;;;;;;;;;;;;
6371;410.32153;52.848896;0.924121;8.519128;47.369804;6.4367237;1.277989;3.9899704;7.9631863;4.038324;8.011749;13.415635;2.003098;1.4865413;3.9899704;2.9442291;1.6367784;0.9577746;4.2878594;2.003098;0.5594019;1.4074179;1.5160582;119.983086;1.0270188;0.0;0;;;;;;;;;;;;;;;;
6372;594.6664;57.825596;7.308162;7.7211175;37.096115;7.561492;1.1127048;9.28778;1.5100815;8.599828;0.41165066;18.930136;2.2179146;0.99374646;1.1530578;1.5100815;4.947704;0.41165066;7.8749704;1.6496881;1.4571633;0.95460355;5.858295;23.81349;0.952732;0.0;0;;;;;;;;;;;;;;;;
6373;540.76355;52.993515;9.139731;2.0362415;36.896156;8.514685;2.2539852;5.931966;3.6977506;8.388844;3.6735408;18.258516;2.0283482;1.1513686;4.503423;3.6977506;0.6566471;3.6735408;9.587575;2.0283482;2.1214619;2.4694526;6.21881;178.21512;1.0030894;0.0;0;;;;;;;;;;;;;;;;
6374;456.85974;52.92325;7.766579;6.32615;36.861317;1.8566626;1.2091017;6.988913;6.1324487;8.621881;7.9693694;25.075583;1.8566626;0.5938029;3.2088108;3.166083;6.9259715;1.469371;10.241529;0.6699329;2.307529;0.95076984;5.1750183;99.63998;0.99985003;0.0;0;;;;;;;;;;;;;;;;
