model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1095;415.88257;380.804;817.9012;30.67007;0.92476064;1.2033886;1.4813899;0.5558538;0.95574003;0.7599936;0.0;0;-23.12616628285427;-12.796914241131134;25.54330630690498;13.577593169162753;-1.5945801393211823;0.36505489165551996;0.27297254560938067;0.2926829268292683
1096;226.66805;74.42685;61.354435;39.402664;9.524656;1.6924336;0.36847687;0.5134608;1.4269435;1.1718338;0.0;0;-30.472075679621874;-16.383481360439134;30.970812880536155;16.383481360439134;-1.136561849188515;0.20044593143431833;0.18531554452469937;0.04878048780487805
1097;817.89545;542.16205;675.57715;8.185397;4.5717983;0.56116295;1.694692;1.0351971;0.95127565;0.8245112;0.0;0;-37.90476689738447;-15.699711183108406;38.543751827761184;15.699711183108406;-1.1970671735168956;0.20044593143431833;0.18531554452469937;0.07317073170731707
1098;861.96423;641.9633;165.15369;40.466114;8.94169;1.2243692;0.67072624;0.9174608;0.046500903;1.1710494;0.0;0;-35.05917138135249;-15.615206126357748;37.570103855575915;15.615206126357748;-1.2703688565281406;-0.028419472566324076;0.10138444973804575;0.12195121951219512
1099;176.02252;148.20676;438.24384;97.22491;6.5594974;0.15466267;1.3352913;1.7253505;1.3724555;1.0209523;0.0;0;-32.467470774067365;-15.8846164754884;33.09379889904952;15.8846164754884;-1.186005308082614;0.20044593143431833;0.18531554452469937;0.0975609756097561
1100;17.431963;557.3334;860.50073;69.43257;1.060857;0.028809585;1.9820298;1.282097;0.14852008;0.9350797;0.0;0;-24.56718785580072;-5.571268540439377;29.906782207884557;11.163100138513954;-1.7966202429716154;0.20380312412512464;0.25153498966783167;0.24390243902439024
1101;342.76868;205.78944;103.47536;47.4351;4.176359;1.7506487;0.5963377;0.8033178;1.6941983;1.2206315;0.0;0;-13.940206410919428;-3.4149628785548884;22.37931097946631;10.944828727635866;-1.7449599385904333;-0.08275958046317293;0.04580100718402113;0.2926829268292683
1102;799.5357;846.2828;670.4792;30.816418;1.966523;0.5961501;0.5477198;0.7776363;1.4194692;1.056179;0.0;0;-20.62079708815274;-6.946871367026546;26.3829565963484;12.773169875518391;-2.172657585460465;0.5086592443430511;0.3414334675036618;0.2682926829268293
1103;840.7821;836.8099;616.49255;36.667793;1.7069;0.89636743;0.37250528;1.0989093;1.1997019;0.7693279;0.0;0;-26.52262312612302;-13.077159684956086;30.64240124854977;13.24013595826085;-1.810159024007553;0.367780652813539;0.3063197325809446;0.24390243902439024
1104;146.94579;435.3328;868.85443;61.161694;7.1537366;0.47124097;1.9683151;0.5142025;0.9137766;1.1330001;0.0;0;-36.03934395971528;-15.593845132594282;36.78648106941608;15.593845132594282;-1.1982472564234787;0.20044593143431833;0.18531554452469937;0.0975609756097561
1105;776.5925;967.07574;181.00752;25.519562;0.3098997;1.7548468;0.85960174;0.8514628;0.3525;0.8411994;0.0;0;-14.369103803281549;0.09246399579458853;27.12184845384094;12.285822468011162;-3.854498448956825;0.4809514641068327;0.4142456381174827;0.14634146341463414
