model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1199;737.37787;989.8715;106.97197;29.767874;6.3361273;0.9927821;1.0790809;1.5332803;0.37621602;1.1132655;0.0;0;-20.93501049500666;-13.789898679719329;22.225708728137143;14.058488381272781;-1.2898847572932242;0.20179252118611385;0.1896794239062452;0.1282051282051282
1200;570.7565;510.8608;738.12103;24.79064;1.1115303;1.6858432;1.601587;1.9643044;1.5392956;1.0793321;0.0;0;-3.750899664400325;-2.5323875612428424;8.742365929686372;9.136214845728432;-2.2764731999182555;0.5332714849675574;0.35904698757354425;0.3333333333333333
1201;555.39966;503.34058;128.93584;55.797054;0.024588473;0.3742421;0.25307882;0.186364;0.6020028;1.1621974;0.0;0;90.99381298586555;85.03767697100943;97.06909444360122;85.03767697100943;-28.024861339269656;-0.40638711463034244;-0.42141422889413493;0.02564102564102564
1202;830.2615;563.2056;671.51215;30.88946;7.8939743;1.2710003;1.8222082;1.2162689;0.62316215;1.1308879;0.0;0;-22.955198302166774;-15.424983008566471;23.757206392979423;15.424983008566471;-1.1956815061134232;0.20179252118611385;0.18967942390624515;0.10256410256410256
1203;713.4274;194.14433;186.6064;72.921585;5.427641;0.23523946;1.5505522;0.5144601;0.25364038;1.2224509;0.0;0;-9.865858580348014;-10.727912068417282;11.86648060418391;11.06846188798545;-1.295586993657377;0.2991688517571227;0.19549964183375337;0.1282051282051282
1204;36.31199;155.69225;127.127075;56.83718;9.316218;1.6129766;0.70456624;1.6020299;0.46076286;0.75302374;0.0;0;-27.94091523850504;-18.016656448082728;28.4484517367012;18.016656448082728;-1.0766604735099734;0.20179252118611385;0.18967942390624515;0.10256410256410256
1205;58.964546;680.58105;170.90475;53.27315;5.37702;0.4789507;0.030261343;0.21180762;0.08715026;0.82333463;0.0;0;-19.024863751039494;-12.704491043991112;21.796514952007573;13.212308154023276;-1.386346364968965;0.12339037223113018;0.16380265681437947;0.1282051282051282
1206;605.54285;401.80914;513.3194;95.13425;2.1546385;0.8608752;0.2193992;1.5797328;1.3472054;1.0398757;0.0;0;1.9362270153639032;2.70587996417143;10.401787872136415;12.033745199826996;-2.7223536712395537;0.23959598804489438;0.3036585471684581;0.358974358974359
1207;491.33017;297.00757;649.0277;32.308712;6.987781;1.3153912;0.29734674;0.40921256;1.7042265;0.9505296;0.0;0;-20.784799251214807;-16.101037278074045;21.526057118723728;16.101037278074045;-1.2163176245259195;0.20179252118611385;0.18967942390624515;0.07692307692307693
1208;267.5828;41.077705;813.8056;63.563457;7.01282;0.9616471;0.21612425;0.9174785;0.10620436;0.9202527;0.0;0;-15.214116227734557;-14.757099911488666;17.28325176229015;14.757099911488666;-1.190135882686116;0.07884656918633938;0.18848386472304446;0.07692307692307693
1209;424.4695;847.58997;137.27658;0.10505764;0.6646707;1.560005;0.21453017;1.6295034;0.51826113;1.122954;0.0;0;35.11571231727305;46.43630026583901;42.276124950987835;46.43630026583901;-14.351386173138447;-0.280058692913378;-0.17344460726926308;0.07692307692307693
1210;760.33124;42.005577;620.0249;73.71867;6.9395723;1.3794593;1.9206889;0.14425234;0.69895226;1.0178183;0.0;0;-18.40095172401053;-15.85010919164489;19.048965279698095;15.85010919164489;-1.1429946975411558;0.20179252118611385;0.18967942390624515;0.10256410256410256
1211;828.3454;752.4833;776.1012;50.30414;2.133157;0.26950744;1.3203354;1.8570578;0.7911667;1.0132437;0.0;0;-12.542060118326898;-9.224971449924055;15.341200289750455;11.92271178005231;-1.6184505672612344;0.36478960513190817;0.27088442992673384;0.3076923076923077
1212;565.61084;388.16867;319.28113;20.917658;2.552661;1.549191;1.643071;0.44252324;1.6501713;0.77491754;0.0;0;-17.691173232732673;-13.70349789828964;18.630222500691577;14.542500772638476;-1.2898200761632395;0.2991688517571227;0.1979167794388601;0.15384615384615385
1213;391.51578;602.7009;88.91843;0.2509046;0.3238328;0.8527298;1.1299994;1.0064489;0.09532545;0.9806482;0.0;0;13.580026784353626;18.227684731190664;19.22244417440373;19.130497268444543;-6.848186179214297;0.14184543033821087;0.1429494154930332;0.10256410256410256
1214;277.9898;255.20122;164.3865;70.7237;6.2774487;1.1995379;1.2427746;1.4717927;1.2320856;1.0540106;0.0;0;-18.457958764202484;-15.371199067018665;19.23512291567177;15.371199067018665;-1.227248189473815;0.20179252118611385;0.18967942390624515;0.10256410256410256
1215;526.6993;163.84567;100.64306;66.3038;7.319977;0.44098067;1.7631867;0.2557592;1.0692122;0.8900421;0.0;0;-23.840724272059205;-17.292442578095347;24.315602968515684;17.292442578095347;-1.1325930727795632;0.20179252118611385;0.18967942390624515;0.07692307692307693
1216;321.6021;538.05414;888.3398;66.57417;2.3126118;0.85195225;0.5313187;1.2214038;1.6785637;0.86949116;0.0;0;-11.384322133474361;-13.824545976267075;14.603488514908175;13.947406429091984;-1.681383000938992;0.3634025016669172;0.28129799620821466;0.23076923076923078
1217;568.45416;698.6615;382.93466;43.801735;7.927464;1.6361506;1.392104;1.0359792;0.6186689;1.0253063;0.0;0;-24.445484286173915;-15.361318875135169;25.31987090903571;15.361318875135169;-1.2107171185402523;0.20179252118611385;0.18967942390624515;0.1282051282051282
1218;679.88586;203.53836;528.1151;63.9658;7.6226926;1.8532602;1.7996249;1.1758101;0.21262169;1.2059793;0.0;0;-17.068937213867365;-14.17603830871903;18.719422120058372;14.17603830871903;-1.2021861538992071;0.20179252118611385;0.18967942390624515;0.07692307692307693
1219;75.41842;441.99536;771.0013;57.176346;4.1035643;1.8780047;1.8732216;1.3283657;0.26985022;0.8081864;0.0;0;-20.655342049339684;-13.912925721836672;22.06793769462129;14.317005459965003;-1.250731726564426;0.20179252118611385;0.18967942390624515;0.1282051282051282
1220;11.05679;450.20844;377.78345;23.965614;0.6915694;1.4031768;0.893656;0.8470498;1.2648504;0.90455645;0.0;0;3.4053818863830587;6.674198632437367;11.107582401092985;9.07364450120943;-3.678812865946305;0.4267741625124599;0.4261368749551327;0.20512820512820512
1221;220.15437;223.81935;652.61163;51.924927;2.8090515;0.16703166;1.7148573;0.6045507;1.0960552;0.7790693;0.0;0;-16.259726724899696;-13.339875527096666;17.149402543251977;13.631328225418628;-1.2657567465471429;0.20179252118611385;0.18967942390624515;0.15384615384615385
1222;895.5664;569.3989;85.913055;51.50782;1.6626372;0.8908403;1.0126805;0.3758684;1.188644;0.91269165;0.0;0;-9.07308497600159;-11.312978904085156;12.554939660899286;12.25525918848507;-1.742252232796352;0.36478960513190817;0.29471897539821046;0.3076923076923077
1223;649.8279;154.47633;486.0966;82.37993;9.588594;0.39421168;0.5231931;1.8787413;0.28281185;1.0974205;0.0;0;-20.503949515433614;-16.12798947974855;21.80933197399059;16.12798947974855;-1.153608909885369;0.20179252118611385;0.1896794239062452;0.07692307692307693
1224;180.24075;514.6517;105.55378;43.405552;8.179265;1.398253;0.50940853;0.8087378;0.094555065;0.9093361;0.0;0;-22.99408066514953;-15.3565451583097;25.082190627611688;15.3565451583097;-1.2218855311240522;0.04765521532414344;0.16227346031156334;0.1282051282051282
1225;891.3613;122.297195;255.8013;43.664936;0.79298097;0.33112857;0.90901536;0.5716264;1.1373218;0.94925106;0.0;0;24.722960649242868;9.853173174289566;32.29585296425829;15.966541624299623;-6.470194909350185;-0.1485002000353508;-0.44617288948246353;0.1282051282051282
