model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
4427;146.7237;446.20215;133.63145;63.37985;427.23666;87.76436;5.5611334;0.98018163;0.07798172;1.8134663;0.74456567;337.73978;79.41905;7.5897074;0.98018163;0.07798172;0.20004657;0.27291864;95.18392;35.234226;5.003391;0.07798172;0.77123946;0.0;0;-30.121820357376166;-9.279491519595666;31.954959642622114;9.662726116106455;-1.3359755805649174;0.2843320607243313;0.1968175907569891;0.1951219512195122;0.0975609756097561;0.04878048780487805
4428;244.492;691.7804;404.6103;38.113667;921.0347;95.435104;7.012779;1.2211387;0.2058317;1.2992258;1.4049941;313.73468;64.287506;2.3239293;1.2211387;0.2058317;0.90842175;0.93203825;92.553185;64.287506;7.9173346;0.2058317;0.79794586;0.0;0;-38.98266813027002;-14.968591447785542;40.54614437128335;15.500422659767679;-1.284520468054457;0.19366322379551335;0.18868968609420125;0.04878048780487805;0.024390243902439025;0.0
4429;39.533787;835.52496;702.66376;97.55576;812.79724;26.862131;2.0801504;0.17709965;0.21675088;0.6555861;0.31286025;812.79724;26.862131;1.5391732;0.17709965;0.21675088;0.020154316;0.31286025;13.034725;26.862131;0.1528279;0.21675088;0.97808117;0.0;0;62.64383622911294;61.23432456229969;76.90464012833176;70.61297719742299;-21.242110065637394;-0.1931488810303688;-0.26022008629809623;0.024390243902439025;0.024390243902439025;0.024390243902439025
4430;315.0457;501.38065;345.505;33.93465;501.54108;17.378742;7.398076;0.91474116;0.6050381;1.1808443;0.2530127;501.54108;17.378742;7.0641756;0.91474116;0.6050381;1.1808443;0.2530127;56.498787;17.378742;9.692631;0.6050381;1.1896712;0.0;0;-34.23706815754435;-16.185147434525106;35.45945453957673;16.185147434525106;-1.2095252505864036;0.20044593143431833;0.18531554452469942;0.07317073170731707;0.024390243902439025;0.024390243902439025
4431;902.9351;214.09206;692.70197;90.77264;155.37688;49.94459;6.7684197;0.56694514;1.9214954;0.34064373;1.9677844;155.37688;41.271057;5.6802716;0.56694514;1.2079526;0.31184667;1.7863739;39.497784;41.271057;3.1080747;1.2079526;1.2401004;0.0;0;-9.390066297701983;-2.73148351045171;23.715644696988527;10.876844637351724;-2.053122695357001;-0.19766014840707055;-0.30040716864280614;0.34146341463414637;0.21951219512195122;0.07317073170731707
4432;833.0485;589.9413;807.13855;59.299187;404.58588;90.11023;3.134472;0.014721598;1.2451152;0.13908564;0.6299387;404.58588;76.922516;3.9736092;0.014721598;1.2214705;0.13908564;0.6299387;86.19664;57.842533;1.0046245;0.38904774;1.0570912;0.0;0;-5.646086481422636;3.7420680350225553;23.9664132516101;11.489090331190909;-3.1734170369751937;0.04281345144004072;-0.08768015048539739;0.2926829268292683;0.12195121951219512;0.07317073170731707
4433;378.28372;459.9719;878.8021;3.7605343;147.29219;31.629795;8.950797;1.0431579;0.2547637;0.10796495;1.7953653;147.29219;31.629795;5.790979;0.5398054;0.2547637;0.10796495;1.0724682;46.829967;31.629795;3.4006028;0.2547637;1.1303434;0.0;0;-3.7964647025202916;1.0936924335381093;24.77942101510459;9.96721786130118;-2.7403902482111433;-0.02406050113458689;-0.2687254298360201;0.2926829268292683;0.21951219512195122;0.07317073170731707
4434;580.07526;774.2062;54.27231;86.04748;77.84236;50.555565;7.8073363;0.7357605;0.14980987;0.5473454;0.05523267;77.84236;50.555565;8.104844;0.044653986;0.14980987;0.5473454;0.05523267;25.921507;39.02492;7.232939;0.14980987;0.93311757;0.0;0;-27.892890456939558;-15.285948228341198;30.16263305465581;15.285948228341198;-1.2136869970861544;-0.016578025663689044;0.1347736897938279;0.0975609756097561;0.0;0.0
4435;571.68695;560.0203;775.9943;76.24498;907.4463;99.55594;5.2161164;0.86816347;1.9418417;0.36700523;1.6646303;893.9109;22.833836;0.9401849;0.45902303;0.31772038;0.36700523;0.93856394;91.708405;22.833836;1.3282176;0.31772038;1.1413574;0.0;0;-7.356115394252359;6.307587818305251;22.11219576449885;9.303384138367363;-3.7899240178939784;0.48450099182709255;0.4480220337178632;0.1951219512195122;0.14634146341463414;0.024390243902439025
4436;830.45013;286.62863;155.6707;64.28451;496.51715;45.657623;0.8360191;0.23158775;0.35101023;0.81260604;1.8740056;496.51715;45.657623;5.129112;0.23158775;0.35101023;0.08085796;1.8740056;42.775723;44.509335;3.319358;0.35101023;1.1668229;0.0;0;-9.739808928231197;0.32701772907168447;23.438204702476337;11.93331381430653;-2.30848209379382;-0.02761538002939024;-0.0730789454305823;0.34146341463414637;0.21951219512195122;0.0975609756097561
