model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
1825;81.131836;562.7456;292.88348;55.278606;201.88719;25.47111;3.7589817;1.8161963;0.34016448;1.3361133;1.0475243;201.88719;25.47111;6.9520373;0.541903;0.34016448;0.2877181;1.0475243;95.080605;14.954647;9.276637;0.34016448;0.8160188;0.0;0;-27.516486615109304;-17.405786765592097;28.032528944627174;17.405786765592097;-1.1134191557833446;0.20179252118611385;0.1896794239062452;0.02564102564102564;0.02564102564102564;0.0
1826;520.5306;24.82585;475.34692;71.282005;70.370705;80.85746;0.7636676;1.2852862;1.2686456;1.4154433;0.34916678;70.370705;71.5915;5.895566;0.13365686;0.73162615;1.0920783;0.09824479;53.03886;22.994267;0.28958073;0.73162615;0.77492696;0.0;0;22.698312659927836;13.5155946920556;24.345133954798698;13.5155946920556;-6.154533164350257;-0.146785148259424;-0.37220038007116363;0.1794871794871795;0.1282051282051282;0.02564102564102564
1827;486.77567;862.62964;189.88676;1.4723152;17.92351;93.2155;0.4491636;0.29873383;0.80850184;1.3293434;0.49121955;17.92351;15.665466;5.6746383;0.08802661;0.80850184;0.33882046;0.49121955;14.830922;15.665466;9.10273;0.80850184;1.0241804;0.0;0;-20.38062838435677;-17.288394881260956;21.186679745637782;17.288394881260956;-1.1158297013855976;0.20179252118611385;0.1896794239062452;0.05128205128205128;0.02564102564102564;0.0
1828;922.46814;623.771;254.11472;76.27966;722.11285;12.092425;9.498472;1.9797885;0.04464378;1.6546378;0.70333767;132.96843;12.092425;7.079962;1.9165312;0.04464378;0.17931372;0.70333767;77.98929;12.092425;4.206213;0.04464378;1.1462276;0.0;0;-1.0739688229698197;-0.5851941427822567;9.446439897691388;9.06990857962063;-2.0748530160376473;0.32185390727283564;0.266541627867817;0.3076923076923077;0.20512820512820512;0.07692307692307693
1829;498.5715;747.24426;98.951546;65.17967;458.92593;66.99938;6.0421486;0.82844186;1.9401609;1.0724518;0.96577;363.2531;54.578064;6.290272;0.82844186;0.79755586;1.0724518;0.8365057;47.196938;54.578064;6.6966023;0.79755586;1.1423047;0.0;0;-16.001853220064017;-13.660607309477513;16.933552251140622;14.02664284917546;-1.2595080223024508;0.20179252118611385;0.18967942390624515;0.1282051282051282;0.10256410256410256;0.02564102564102564
1830;473.63733;498.9819;135.50568;27.548489;55.136265;63.11647;6.4375286;1.4686105;0.23864323;0.04510929;1.6804937;55.136265;53.401497;2.3133469;1.4686105;0.23864323;0.04510929;1.2264769;18.106041;17.011559;3.5248494;0.23864323;0.78114057;0.0;0;-1.6134777058030199;-4.865821746945699;11.140514901567641;10.329915235148064;-1.7164910073153534;-0.21739089616145563;-0.14852396491385597;0.28205128205128205;0.10256410256410256;0.02564102564102564
1831;962.578;622.2184;218.40834;68.9256;939.58014;67.0043;9.155034;0.3616623;0.8328582;1.7279987;1.9847383;362.46057;12.856305;9.1347885;0.3616623;0.8328582;1.6079428;0.15196726;21.395956;12.856305;3.1260386;0.8328582;0.75496805;0.0;0;-8.777464146226764;-5.469039915120391;11.902827059279815;6.215564023160226;-1.55556917304506;0.35918992629332386;0.24537105167724038;0.38461538461538464;0.23076923076923078;0.10256410256410256
1832;456.0707;264.8952;584.4319;13.177013;668.95404;3.2154565;5.5131063;1.8662038;1.3187007;0.9461434;1.202523;255.47603;3.2154565;8.808468;1.6062366;0.7256373;0.41703677;0.62232745;96.70104;3.2154565;1.1499729;0.7256373;0.80522114;0.0;0;-1.1384721033348757;-2.2349724633817516;6.874538913843604;5.7934601550094555;-2.7077903840462105;0.6087315837889148;0.41505825208276925;0.4358974358974359;0.28205128205128205;0.02564102564102564
1833;189.07559;974.0202;446.799;82.42132;271.6304;2.9097736;6.159373;0.16762254;1.1761864;1.8575675;0.7844732;271.6304;2.9097736;1.2688673;0.16762254;0.34549353;1.8575675;0.44208124;68.87113;2.9097736;5.978177;0.34549353;1.2389574;0.0;0;-7.941878389374646;-7.837544935660475;9.648141508735586;8.31172798534115;-1.388467036814949;0.2991688517571227;0.22162579318140838;0.2564102564102564;0.1282051282051282;0.10256410256410256
1834;224.74696;406.7128;274.2701;86.63589;444.3082;29.551668;5.2351556;1.912085;0.018394316;1.787078;0.3749243;444.3082;22.198082;5.9618196;0.50973356;0.018394316;1.1462995;0.3749243;95.75235;22.198082;7.166554;0.018394316;0.83058906;0.0;0;-22.17437858085035;-15.192400942056622;23.61812783420919;15.396585037645224;-1.2583752848527163;0.20179252118611385;0.18967942390624515;0.05128205128205128;0.0;0.0
1835;104.235664;170.70335;862.50134;48.599144;494.37402;8.115284;1.7679849;1.4569739;1.2196921;0.804687;1.0269374;182.05673;8.115284;9.098688;0.18847387;1.2196921;0.804687;0.25524008;79.85113;8.115284;1.2934592;1.2196921;0.7914971;0.0;0;-2.402134215833771;-2.305816841143809;5.852654223414421;4.750853285234172;-1.863874154712551;0.5186783174575134;0.32313397760225665;0.5384615384615384;0.4358974358974359;0.1282051282051282
1836;10.562448;65.35626;529.89624;50.793472;574.2285;36.67119;3.121994;0.4622167;1.4572701;1.8668152;1.2301108;138.37076;36.67119;6.677993;0.4622167;0.43894753;0.34265557;0.68524754;66.34825;12.78611;7.880393;0.43894753;1.0162897;0.0;0;-19.63596267010285;-12.929771289697555;20.479348901742966;12.929771289697555;-1.2067516405145424;0.20179252118611385;0.18967942390624515;0.1282051282051282;0.05128205128205128;0.0
1837;437.6262;639.81024;923.87836;40.265232;858.8758;87.25483;8.844556;0.37000242;1.7001514;0.12658232;0.6606123;172.72972;2.480178;5.237682;0.37000242;0.026969409;0.12658232;0.6606123;20.686203;2.480178;2.259736;0.026969409;1.2243671;0.0;0;16.779269432922113;10.13553401539329;24.209644533193526;14.864451059804054;-5.940906302586594;-0.061989066300316815;-0.3568052246048016;0.10256410256410256;0.05128205128205128;0.02564102564102564
1838;771.5502;983.5461;638.6153;34.598866;594.0013;35.508186;4.444205;1.6758308;0.37604648;1.3280371;0.6546076;570.03156;35.508186;9.132038;1.3939455;0.37604648;1.3184398;0.6546076;50.5213;30.300388;3.5532491;0.37604648;0.9177828;0.0;0;-9.609259351565138;-9.881268073476946;11.784557307341592;11.663510413030338;-1.6021107223874635;0.35918992629332386;0.26116679863849;0.3076923076923077;0.1282051282051282;0.05128205128205128
1839;736.1318;896.83655;25.62972;87.302536;978.9389;39.34534;2.049454;0.08944866;0.083143905;1.3661675;1.6587168;883.25977;39.34534;7.7127743;0.08944866;0.083143905;0.37798813;0.8948161;31.655699;32.083405;1.1896417;0.083143905;0.9175856;0.0;0;18.498320172720163;19.392789521887607;23.794386610889635;19.392789521887607;-7.353055107663502;-0.1326013400192833;-0.12057372167977157;0.05128205128205128;0.02564102564102564;0.0
1840;41.8276;705.0835;914.34094;30.55683;729.541;26.82545;8.282124;0.23741743;1.8893161;1.6818597;1.3233286;729.541;26.82545;6.5769134;0.23741743;0.45539021;1.007838;1.0099231;24.391296;26.82545;7.8857965;0.45539021;1.223324;0.0;0;-17.04956854411704;-12.908700709171455;18.02060927444987;13.720703750301709;-1.2705291708555289;0.20179252118611385;0.18967942390624515;0.1282051282051282;0.05128205128205128;0.02564102564102564
