[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
747.3145;17.381866;581.0929;88.52125;184.97568;80.78491;9.101516;0.23097329;0.32543665;1.4309602;1.4662083;184.97568;70.14379;5.368596;0.23097329;0.32543665;0.5370841;1.4662083;45.170746;70.14379;3.9169436;0.32543665;0.9375387;0.0;0
967.83466;853.1254;753.8253;47.43708;508.35684;3.3759778;7.221621;1.610551;0.88060033;0.9055676;0.87615997;51.263046;3.3759778;7.5656667;1.610551;0.88060033;0.9055676;0.87615997;26.43698;3.3759778;1.2319896;0.4760348;1.0209904;0.0;0
332.5671;55.959805;728.73895;17.88094;752.91174;67.935974;7.101787;1.2671659;1.31003;1.2736275;0.22231016;579.64966;26.578615;8.30667;0.44948265;1.31003;0.45835263;0.22231016;10.583693;26.578615;9.34409;1.0533619;0.8599485;0.0;0
376.7551;529.5472;119.42093;21.536745;276.90262;47.643833;4.936615;1.5146791;1.765088;0.2120175;1.0001631;276.90262;47.643833;2.248411;1.5146791;0.2371263;0.2120175;0.057288438;47.164482;7.5085764;4.527772;0.2371263;1.2088181;0.0;0
474.86026;618.8379;999.47144;84.62105;724.8186;7.6224008;0.7875703;1.8113408;1.3116653;1.5299324;1.9112499;724.8186;7.6224008;1.1090206;0.21152867;0.5478595;0.76466095;1.3586558;19.378849;7.6224008;9.0997715;0.5478595;1.0943699;0.0;0
197.57664;206.18951;942.4708;0.97122335;467.35535;68.88727;9.9903;0.46027583;0.16936685;0.01651818;0.55247754;362.11636;21.249176;9.2444315;0.13910015;0.16936685;0.01651818;0.31933615;26.682764;17.158875;4.54642;0.16936685;0.7853083;0.0;0
138.62228;896.77356;897.62604;86.926125;409.735;48.339123;0.16539825;0.7345298;0.6499073;1.2878888;0.115221046;409.735;43.2033;7.4092073;0.7345298;0.31491137;0.94025743;0.115221046;37.692425;7.909601;0.9170554;0.31491137;0.8602069;0.0;0
480.94788;198.19481;626.0662;5.6532497;365.92566;86.024124;4.95902;1.5868185;0.70835507;1.6543641;1.4852794;365.92566;30.294266;3.6300054;0.656938;0.70835507;0.6992229;0.2179954;50.799297;29.454031;3.5799084;0.70835507;0.7911849;0.0;0
234.64026;885.66986;527.5634;39.22668;154.12515;20.94233;3.6776717;0.52618986;0.7826642;1.535918;0.9142656;44.60091;20.94233;5.3713374;0.52618986;0.41735855;0.59095055;0.9142656;31.672346;20.94233;9.714562;0.41735855;0.82166636;0.0;0
673.11584;765.36035;540.9158;80.037605;339.30743;0.32972723;7.763562;1.0170213;1.8838209;0.30316168;0.6760627;339.30743;0.32972723;8.225738;1.0170213;0.7622029;0.30316168;0.6760627;95.73898;0.32972723;8.766375;0.3009996;0.77778935;0.0;0
442.7804;248.33553;24.787575;40.820778;880.45905;13.135633;7.360446;0.89246684;0.08104967;1.6900524;0.9802028;484.6774;13.135633;1.6350983;0.89246684;0.08104967;0.4248416;0.9802028;92.736664;13.135633;5.143199;0.08104967;1.2375505;0.0;0
834.35144;159.23672;504.4748;82.25259;111.145256;27.034042;6.2842164;1.1946573;0.6113255;0.16759968;1.860699;111.145256;27.034042;0.023014368;0.41706353;0.14607649;0.16759968;0.03993084;32.354153;27.034042;3.295038;0.14607649;1.0799984;0.0;0
703.26245;323.07037;627.53186;10.119854;958.71704;65.25921;0.75663805;1.9765238;0.98998725;0.1420506;0.507996;422.72562;65.25921;5.468656;0.85507697;0.98998725;0.1420506;0.507996;50.385868;8.557511;1.6485668;0.98998725;1.0316603;0.0;0
319.24298;403.97107;662.11914;51.203068;116.42156;36.32806;2.376126;0.21639286;0.18192808;1.6469872;0.40903482;116.42156;33.45632;0.94083893;0.21639286;0.18192808;0.94784695;0.40903482;64.66638;33.45632;1.3873105;0.18192808;1.0808842;0.0;0
