model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
4739;63.837612;1.0797563;0.0;0;-53.39794033244538;-19.711265529308832;53.56764972103482;19.711265529308832;-1.0366560575057402;0.20044593143431833;0.18531554452469937;0.04878048780487805
4740;20.951189;1.0052127;0.0;0;-51.77712373169278;-19.331122809808562;51.979994259169985;19.331122809808562;-1.0485844775914344;0.20044593143431833;0.18531554452469942;0.04878048780487805
4741;22.571543;0.941874;0.0;0;-52.80436832066429;-17.895443061565857;54.53377380850686;19.37973074185618;-1.565766644020418;0.4371185542344132;0.2513380628658947;0.12195121951219512
4742;77.91606;1.0380988;0.0;0;-53.03617580029536;-19.573172428020996;53.20610217391113;19.573172428020996;-1.0367341093650297;0.20044593143431833;0.18531554452469937;0.04878048780487805
4743;28.599636;1.0716928;0.0;0;-52.352387524887426;-19.572385143273777;52.53893942231559;19.572385143273777;-1.0427144899801313;0.20044593143431833;0.18531554452469942;0.04878048780487805
4744;7.1680145;1.151741;0.0;0;-45.75725611673506;-17.335772087527147;46.15604373162869;17.335772087527147;-1.1190579715380184;0.20044593143431833;0.18531554452469942;0.07317073170731707
4745;3.6528304;1.1463754;0.0;0;-38.393058437664614;-15.677852897358605;39.01782903332522;15.677852897358605;-1.2003464922950753;0.20044593143431833;0.18531554452469937;0.12195121951219512
4746;44.323368;1.0824004;0.0;0;-52.70186023770671;-19.57266001446149;52.88749244206446;19.57266001446149;-1.042383666442043;0.20044593143431833;0.18531554452469937;0.04878048780487805
4747;61.716686;1.1971163;0.0;0;-53.3682752230141;-19.877169968905235;53.51227334278049;19.877169968905235;-1.0274074362055015;0.20044593143431833;0.18531554452469937;0.04878048780487805
4748;86.88983;1.1690127;0.0;0;-53.064034218458154;-19.573122743318635;53.23347715300756;19.573122743318635;-1.036560211107529;0.20044593143431833;0.18531554452469942;0.04878048780487805
4749;11.089332;0.81662303;0.0;0;-50.40697594302618;-18.875349000692495;50.66298276052033;18.875349000692495;-1.0676981754430865;0.20044593143431833;0.18531554452469942;0.024390243902439025
4750;19.675316;1.2283397;0.0;0;-50.595053296754976;-18.918015132088783;50.84286698885892;18.918015132088783;-1.0647510196834498;0.20044593143431833;0.18531554452469937;0.024390243902439025
4751;52.984764;1.1958711;0.0;0;-53.08248438983829;-19.573144220546112;53.26334098846655;19.573144220546112;-1.0406658294432078;0.20044593143431833;0.18531554452469942;0.04878048780487805
4752;36.417194;0.9104636;0.0;0;-52.1575486826768;-19.57225303846255;52.35301674846666;19.57225303846255;-1.0459217321117427;0.20044593143431833;0.18531554452469937;0.04878048780487805
4753;48.25892;0.7600922;0.0;0;-53.04307835462279;-19.573692908717618;53.21445910035933;19.573692908717618;-1.037257262736694;0.20044593143431833;0.18531554452469942;0.04878048780487805
4754;92.41322;1.051988;0.0;0;-53.64451215649323;-19.87219157001377;53.81143508806993;19.87219157001377;-1.0356537388003662;0.20044593143431833;0.18531554452469942;0.04878048780487805
4755;54.493717;0.9692088;0.0;0;-53.33258065873021;-19.67151031621296;53.501933390413896;19.67151031621296;-1.0365277641617565;0.20044593143431833;0.18531554452469937;0.04878048780487805
4756;41.51791;1.1247833;0.0;0;-53.12997978670727;-19.57331713401672;53.316017983340416;19.57331713401672;-1.0425297062517405;0.20044593143431833;0.18531554452469937;0.04878048780487805
4757;98.9441;1.0122999;0.0;0;-53.918790627851926;-19.92717796000403;54.09047814838773;19.92717796000403;-1.037367612947818;0.20044593143431833;0.18531554452469942;0.04878048780487805
4758;6.530915;0.7882452;0.0;0;-48.37222888853377;-18.197246689046835;48.671797644754115;18.197246689046835;-1.0833678756494638;0.20044593143431833;0.18531554452469937;0.04878048780487805
4759;93.21202;0.8723437;0.0;0;-53.621303440256405;-19.93501934514282;53.78964970942948;19.93501934514282;-1.0361657287181716;0.20044593143431833;0.18531554452469937;0.04878048780487805
4760;50.17117;1.1912619;0.0;0;-53.09758774768495;-19.601375898234693;53.24554923809161;19.601375898234693;-1.0288331034635718;0.20044593143431833;0.18531554452469937;0.04878048780487805
4761;50.380596;0.76884484;0.0;0;-53.44935661018531;-19.75911330298476;53.601900199416846;19.75911330298476;-1.0304813339372616;0.20044593143431833;0.18531554452469937;0.04878048780487805
4762;92.19721;1.1183349;0.0;0;-53.60953274876797;-19.83762273953687;53.78246173234848;19.83762273953687;-1.0378141806235655;0.20044593143431833;0.18531554452469937;0.04878048780487805
4763;50.737324;0.8959718;0.0;0;-53.29170813016805;-19.69390988875628;53.432969324712424;19.69390988875628;-1.0264229346206282;0.20044593143431833;0.18531554452469942;0.04878048780487805
4764;43.846325;0.9763199;0.0;0;-53.040839803074874;-19.573542824998754;53.21079954129086;19.573542824998754;-1.036746110972358;0.20044593143431833;0.18531554452469942;0.04878048780487805
4765;27.256134;1.0155027;0.0;0;-52.31347104871756;-19.57248394165387;52.48532797465783;19.57248394165387;-1.0374285499028524;0.20044593143431833;0.18531554452469937;0.04878048780487805
4766;65.885086;0.87504065;0.0;0;-53.51701500548339;-19.845874725808244;53.65077987224184;19.845874725808244;-1.0237264244907072;0.20044593143431833;0.18531554452469942;0.04878048780487805
4767;56.96881;1.0759802;0.0;0;-53.421737130725155;-19.690735850237303;53.595676664908865;19.690735850237303;-1.0381776865982424;0.20044593143431833;0.18531554452469937;0.04878048780487805
4768;21.4424;1.096721;0.0;0;-51.6856837422273;-19.234770192976526;51.91173596113141;19.234770192976526;-1.0569231825609187;0.20044593143431833;0.18531554452469937;0.04878048780487805
4769;70.9442;0.79252976;0.0;0;-53.16846317638595;-19.578377858154624;53.33445550379037;19.578377858154624;-1.0353189904210085;0.20044593143431833;0.18531554452469942;0.04878048780487805
4770;64.41225;0.93696356;0.0;0;-52.974256145659616;-19.573195676043184;53.147850856197714;19.573195676043184;-1.0380536498058326;0.20044593143431833;0.1853155445246993;0.04878048780487805
4771;39.739414;1.1221887;0.0;0;-52.81250910478913;-19.572871876280544;53.00798531207562;19.572871876280544;-1.0459246606960781;0.20044593143431833;0.18531554452469942;0.04878048780487805
4772;0.45004818;1.1108187;0.0;0;67.31820560518565;58.452205198369285;80.2788396310831;61.07151284113252;-21.583215335347187;-0.22406298700896554;-0.2932047676339358;0.07317073170731707
4773;44.66365;1.0223017;0.0;0;-53.07301374674499;-19.57339808867374;53.24253947725961;19.57339808867374;-1.0365899937111318;0.20044593143431833;0.18531554452469937;0.04878048780487805
4774;0.61575115;1.1388373;0.0;0;36.960535168829296;38.76853967010183;56.620162511776414;40.03299801335697;-14.536660627815392;-0.14773070703299745;-0.23807478829514678;0.04878048780487805
4775;7.509099;0.80382246;0.0;0;-49.26645725353485;-18.857884402990038;49.52760536333649;18.857884402990038;-1.0695475538566137;0.20044593143431833;0.18531554452469937;0.024390243902439025
