model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2370;46.228172;0.8991079;0.0;0;-33.14290083720486;-17.468154778297986;34.082483204185216;17.468154778297986;-1.2900188040472955;0.2991688517571227;0.19796427963449523;0.10256410256410256
2371;32.696568;1.1701707;0.0;0;-35.38686700521406;-19.586124001695623;35.69017352519193;19.586124001695623;-1.0834616079347092;0.20179252118611385;0.18967942390624515;0.02564102564102564
2372;30.555006;1.0181178;0.0;0;-35.506544932785296;-19.586650658121727;35.79951713404607;19.586650658121727;-1.0797442417919392;0.20179252118611385;0.18967942390624515;0.02564102564102564
2373;25.092781;1.1613959;0.0;0;-35.00743247522329;-19.144273000533474;35.296172624992636;19.144273000533474;-1.0782219271276325;0.20179252118611385;0.1896794239062452;0.02564102564102564
2374;36.511074;1.0241824;0.0;0;-36.537330606348334;-19.388799845914548;36.69884221338374;19.388799845914548;-1.0324564451350635;0.20179252118611385;0.18967942390624515;0.05128205128205128
2375;15.002648;0.8229466;0.0;0;-34.45389857033574;-19.588240674186665;34.81553408170893;19.588240674186665;-1.1044431765983513;0.20179252118611385;0.18967942390624515;0.02564102564102564
2376;87.21171;0.7896098;0.0;0;-36.6694219386234;-19.587181456896587;36.898467565395926;19.587181456896587;-1.0567491619873521;0.20179252118611385;0.18967942390624515;0.05128205128205128
2377;60.21592;1.2286096;0.0;0;-35.9554296369668;-19.588133949806405;36.27669673339362;19.588133949806405;-1.089922221413316;0.20179252118611385;0.18967942390624523;0.02564102564102564
2378;13.387304;0.9629013;0.0;0;-34.800534266774825;-18.564248868081734;34.98351446674587;18.564248868081734;-1.0401789300609219;0.20179252118611385;0.18967942390624515;0.05128205128205128
2379;69.38899;0.9252603;0.0;0;-38.44215036559576;-19.932702458237685;38.44215036559576;19.932702458237685;-1.0;;;0.07692307692307693
2380;84.76817;0.92815155;0.0;0;-36.534988574547135;-19.58777829227202;36.76462619262788;19.58777829227202;-1.0569621076595526;0.20179252118611385;0.1896794239062452;0.05128205128205128
2381;23.761192;0.9394672;0.0;0;-35.08521485262494;-19.589142810855577;35.40651324025711;19.589142810855577;-1.089933477198097;0.20179252118611385;0.1896794239062452;0.02564102564102564
2382;15.068553;1.2224984;0.0;0;-33.42556368995941;-18.48966641741788;33.771667683597094;18.48966641741788;-1.0988563217938552;0.20179252118611385;0.18967942390624523;0.02564102564102564
2383;0.87163955;0.7813523;0.0;0;1.8294034066820792;5.085667465859046;10.579124681828798;9.784707506702716;-3.8640966797084855;0.5009604973297179;0.48225830189243357;0.1794871794871795
2384;4.7345614;0.8095306;0.0;0;-29.492172349331902;-16.677127026226003;29.98386208730053;16.677127026226003;-1.1512250876177785;0.20179252118611385;0.18967942390624515;0.07692307692307693
2385;76.22751;1.1448258;0.0;0;-38.326601329905586;-19.932744583205363;38.326601329905586;19.932744583205363;-1.0;;;0.07692307692307693
2386;98.71876;1.0247047;0.0;0;-37.0640598138529;-19.57889860651389;37.18404480160388;19.57889860651389;-1.0175188713309868;0.20179252118611385;0.18967942390624515;0.05128205128205128
2387;4.4975834;0.81426835;0.0;0;-28.908130785420944;-16.613891869309356;29.47262085185773;16.613891869309356;-1.1774121526424095;0.20179252118611385;0.18967942390624515;0.07692307692307693
2388;74.809616;0.7672301;0.0;0;-36.31201383833104;-19.590884011477726;36.65980896942751;19.590884011477726;-1.0994646422167251;0.20179252118611385;0.1896794239062452;0.02564102564102564
2389;7.195498;0.8621172;0.0;0;-31.551540640914645;-17.232029454883474;32.03858056767311;17.232029454883474;-1.1495525002672127;0.20179252118611385;0.1896794239062452;0.07692307692307693
2390;59.21736;0.88040537;0.0;0;-36.151381834404525;-19.59125832115626;36.436919914226465;19.59125832115626;-1.0770701079574343;0.20179252118611385;0.18967942390624515;0.02564102564102564
2391;75.60997;0.75710654;0.0;0;-36.37097614419412;-19.5916685393492;36.66154025840515;19.5916685393492;-1.0788780268519345;0.20179252118611385;0.1896794239062452;0.02564102564102564
2392;35.92685;0.8580453;0.0;0;-35.72115090169093;-19.589789174598792;36.08226335547982;19.589789174598792;-1.1042550271317164;0.20179252118611385;0.18967942390624515;0.02564102564102564
2393;1.1033628;1.1191595;0.0;0;7.90492114288777;12.151165470934018;16.014854275589553;15.611750319523196;-5.291109750644564;0.1694470891834268;0.24558185572963875;0.10256410256410256
2394;59.522984;1.1777169;0.0;0;-36.986618785681294;-19.572027041840272;37.12038211124667;19.572027041840272;-1.0224750883683107;0.20179252118611385;0.18967942390624515;0.05128205128205128
2395;99.12455;1.1991179;0.0;0;-37.25842388376027;-19.573732885561498;37.389851227730986;19.573732885561498;-1.0216348105398594;0.20179252118611385;0.18967942390624515;0.05128205128205128
2396;25.769167;0.944957;0.0;0;-35.100841142931664;-19.590739658597045;35.47260297012046;19.590739658597045;-1.1080857218492146;0.20179252118611385;0.18967942390624515;0.02564102564102564
2397;18.957233;0.9097069;0.0;0;-34.694983190958176;-19.588033091502695;35.07144306558475;19.588033091502695;-1.1097756602922204;0.20179252118611385;0.1896794239062452;0.02564102564102564
