model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
201;594.3653;77.69387;2.1808352;5.244729;54.142647;8.259781;1.3612287;1.1866955;1.4542714;0.73192585;1.1815459;51.728645;1.7128106;1.9455335;1.1866955;0.5431454;0.73192585;1.1815459;48.312252;1.0846263;1.2580692;0.5431454;4.9852366;0.009977146;0.9600974;0.0;0;;;;;;;;;;;;;;;;
202;500.14822;74.21249;9.197755;9.703616;50.742214;4.0367866;0.5578907;1.9994771;0.52945185;1.0222517;1.8947214;50.742214;0.6860736;1.210287;0.92284507;0.52945185;0.86721677;0.9509924;45.050827;0.6860736;1.8174002;0.52945185;3.4920828;0.0097375745;0.9742613;0.0;0;;;;;;;;;;;;;;;;
203;428.7795;74.88705;8.760122;2.295344;54.399803;2.434963;1.567422;1.5587356;1.3729242;0.6843424;1.854095;54.399803;1.2611295;1.5091432;1.5587356;1.3729242;0.6843424;0.5577841;49.52365;0.80010337;1.4236716;0.64342844;4.0727043;0.009451011;0.98074216;0.0;0;;;;;;;;;;;;;;;;
204;402.78726;77.016624;6.5277514;4.134172;58.079834;4.4914713;1.5003114;1.0082269;1.6633499;1.3315771;0.6954306;51.30985;1.8960662;1.8338075;1.0082269;0.99990493;0.8287597;0.6954306;40.023228;1.1129327;1.3825216;0.9208027;4.772256;0.00999348;0.99449444;0.0;0;;;;;;;;;;;;;;;;
205;445.9312;75.684265;8.0581255;7.593478;53.169014;4.6485434;1.0138689;0.6143126;1.7494981;1.6875656;1.1815505;53.169014;1.3644032;1.5674883;0.5426097;1.6853173;1.1079949;0.5077021;30.271795;1.2279997;1.0803673;1.553551;3.5389798;0.009964105;0.95579207;0.0;0;;;;;;;;;;;;;;;;
206;426.36444;75.11539;9.716128;6.107763;57.063168;7.4153113;1.1138551;1.7376727;1.8162013;1.3405449;0.5102884;57.063168;0.65057033;1.5024512;1.7376727;1.6996586;0.9020114;0.5102884;34.798218;0.65057033;1.1208748;0.6904528;1.905132;0.009241699;0.97268337;0.0;0;;;;;;;;;;;;;;;;
207;535.53174;72.05559;6.080257;4.842803;54.25986;7.150237;1.2427851;1.8057371;1.2576467;1.8548108;1.3828398;54.25986;1.4195446;0.8680015;0.6161181;0.6439343;1.8222294;1.3828398;30.411549;0.7556377;0.92696863;0.6439343;3.4611049;0.009261662;1.0088669;0.0;0;;;;;;;;;;;;;;;;
208;424.36652;72.581085;3.1220534;7.284656;52.342117;3.7152724;1.6861815;1.4459682;1.3798343;0.5480207;1.794568;52.342117;1.8946061;0.8607433;0.8472984;1.0403227;0.5480207;0.86347824;37.797417;1.3705685;1.0344819;1.0403227;3.3087332;0.009037163;1.039641;0.0;0;;;;;;;;;;;;;;;;
209;501.266;73.58498;6.713189;7.5734944;53.034786;9.356863;1.520932;0.99603736;0.9771047;1.0358831;1.4377171;51.834747;1.2090082;0.934943;0.87878066;0.9736269;1.0358831;1.0740582;30.652899;1.2090082;1.7662474;0.9736269;2.2705953;0.009098332;1.0122215;0.0;0;;;;;;;;;;;;;;;;
210;538.8525;70.09284;9.222802;6.153421;53.025784;3.4078548;1.2755934;1.3487865;1.9302893;1.0695957;0.98015034;53.025784;1.7841223;0.9104506;1.1535419;0.9761098;0.5534763;0.98015034;31.414265;1.2549614;1.1621139;0.50829;3.0852857;0.00944899;1.0006937;0.0;0;;;;;;;;;;;;;;;;
